State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
Initial,1.10572827153935E-32,2.08395155931676E-06,0.000143803645886412,0.170698855709796,8.04135957645982E-13,6.5687351679649E-05,0.127861901055979,5.2710906901066E-06,0.205279337783664,0.00389720785785782,0.00133347608618089,2.25394488005889E-12,0.00116324715426469,5.09193208550917E-07,3.95257412884377E-08,0.0456070574152661,2.97180157815136E-09,2.28474022158238E-07,5.99983801069848E-13,0.00949412521161517,8.8572025529992E-15,1.64004012877121E-11,6.71571958331101E-06,0.415993402337212,2.91958831062537E-05,3.65142905072781E-25,1.1780690811531E-16,0.0100046364252813,1.18420806743153E-10,0.00841321501711667,
Transitions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
0,3.53493912734494E-08,0.213220939894829,2.02026349322962E-05,0.000104916569704446,0.0019211552438138,5.38090749628572E-05,0.0106729155093828,0.000674437973507331,5.87568969293692E-06,0.0858179981183768,0.12914045306344,0.00710441834341847,0.00296073489597995,0.0305575937879613,0.0168060616806978,0.0255022647393568,0.000731929634372599,0.0142465500626349,0.0128111638700947,0.000162865210152365,0.0066402575160953,0.00886120175772138,0.00507312741171448,0.852263139624393,0.0143622454533481,0.0101417632897428,0.00414567610353395,0.0151706738509213,0.0135816612224712,0.00530377704191605,
1,2.29440988862359E-05,0.0108899582580044,0.0122655036395618,0.0137634611488384,0.0658138489236755,0.00209850601680839,0.0344809358251231,0.0144957728270522,0.000599563126025123,0.00559840478497894,0.00512146916277268,0.0287981379725346,0.0180272465621062,0.0637631155174002,0.0195999564637349,0.00131306180115476,0.00676201031507972,0.0853239094631063,0.0414938595527367,0.000533448278926548,0.021022202703952,0.0124727930186893,0.0210964481395933,0.000421903496940129,0.00378954955580234,0.00872060162162199,0.0588056737714032,0.0293118898112833,0.0199683235540157,0.0024351239557158,
2,0.00107318287280611,0.00734950388006179,0.249619522820202,0.0312730525565773,0.0114346016352836,0.0145049497569429,0.000495055888519921,0.00339499487534351,0.00920763954984736,0.00289665098150458,0.00291826925535795,0.121526905168543,0.00413036891593124,0.00268586571806964,0.00599920927994966,0.00196540668230163,0.353551114474228,0.00932211963244634,0.0161309324941283,0.00714855339085297,0.000230729981894735,0.00594592075057754,0.00358858739674159,6.19172183216053E-05,0.118468476529332,0.00222019979935479,0.000471015639166873,0.00215744299987413,0.0292760199057575,0.00770524271876403,
3,0.00438856748431675,0.00124873009426489,0.00282144048133027,0.00192553941408685,0.00104611446777212,0.00622438270443267,0.0184282197905191,0.0487172202734723,0.000104931706853794,0.0211502651362875,0.0278353150009316,9.08384681431024E-05,0.00377685752256715,0.0161099104418239,0.00230192668029471,0.0558398980681466,0.0015157544125662,0.00112255070057319,0.00737980920564173,0.071747556611717,0.0115478932527867,0.000662401793851402,0.00142521090898026,0.000113554356139801,0.0071365766674808,0.00159251043709647,0.00582985950086856,0.0882101006157639,0.00104047011250025,0.0243884753799575,
4,0.0155631522610907,0.0388262129468537,0.0159201534885569,0.0134034951576662,0.0346486896887228,0.0128982489876411,0.0412763443524267,0.00277132596015318,0.023215989907948,0.000709289023585661,0.102072116275122,0.007323150355042,0.0368223578820386,0.00559826237515648,0.346160833192462,0.0126451557110186,0.000644499821944517,0.00580940667097457,0.0404779285480631,0.038340706616925,0.0109208777563646,0.00866715899341317,0.0168539934142897,0.000911579183206881,0.0242638356198831,0.0698533778306439,0.0487246232022996,0.0143870106325186,0.0541832310773149,0.233335701230502,
5,0.116934677235532,0.00985590763534491,0.126966964464585,0.0229534214814742,0.00940056466935832,0.189493371303959,0.228408348251677,0.00138151642603379,0.0178259061098623,0.000409750676240988,0.0461547449035343,0.0910849643709736,0.325912398891405,0.000329790572233284,0.0278860321921782,0.0430086299340588,0.000150439169388667,0.00191126891410653,0.00605825190365916,0.169414046510457,0.0322558976561374,0.000869912007642548,0.0688643441471296,0.0617277103239382,0.0119378427802109,0.105556770225042,0.075192778906307,0.0311376679009279,0.011395044368781,0.0142906431303649,
6,0.0108194966945002,0.0227300993373519,0.00836715789550456,0.000401820279024256,0.000701235961177388,0.00441541063605275,0.00371289609544223,0.00799980230846482,8.35717681776203E-08,0.0150319024357765,0.00193475489768523,0.0128761504538937,0.00381300771523545,0.0335867622081198,0.00603417248035041,0.0169332936328651,0.0397885890830954,0.00826006055610987,0.121447004803192,0.00282963532862518,0.000502128667147209,0.170993982279718,0.0271698475076587,0.000511508903627791,0.0246949873882679,0.0190206714007243,0.0123340782055661,0.00151190339908105,0.213568704263288,0.0111239550456628,
7,0.0269875535651864,0.013778623327488,0.0135574652166089,0.0660430405895468,0.0138220127992531,0.0568183722835772,0.0494837572048401,0.0021037228645654,0.0461113243171019,0.0296274885124178,0.00655221640360738,0.0891351088065544,0.011422319418898,0.00129170760065601,0.0119390744631714,0.00331617998697522,0.00686672884518894,0.0177790640465947,0.0203499111266615,0.00106216470706846,0.000210330551388962,0.00838687498155933,0.00431846301326928,0.00185365645311766,0.00310158262157807,4.14244852468785E-05,0.00454118022402985,0.0169590222098977,0.00152268870747488,0.0062290747378472,
8,0.0121734105281249,0.0200613628363782,0.0198044068391365,0.00223344865120689,0.0428845842775847,0.00297539569398501,0.000405986526030204,0.116479739555499,0.0017483663213177,3.78047369564473E-06,0.0355172282803818,0.0104585911660718,0.0430630921841222,0.000826775590933009,0.00374301929820703,0.0177291054072975,0.00858211562417736,0.000576084903998509,0.00963093813413505,0.200705934476761,0.52165574386984,0.00125614124659839,0.00250932718409576,1.29084403409209E-08,0.00865838767804556,0.0469042760490256,0.0269524576867515,0.082867473616288,0.0322527904669087,0.012933587031651,
9,0.0145671105887199,0.0159212309182571,0.00204957229474911,0.159241456591578,0.00384131953888167,0.000587638455815011,0.011351444806269,0.000148346221655939,0.438890416711305,0.0585493275131517,0.000193238415620635,0.155771766362218,0.00216076559294043,0.0184384121315782,0.0126141046993038,0.0126518800812038,0.00151171022716004,0.0116734731432884,0.00320260466186302,0.00686153072712461,0.0554304554362077,0.0731179780383352,5.97556191059569E-05,0.0251812412888588,0.131554212435589,0.0147680439330005,0.109663761112421,0.0570375352621329,0.0406555857047319,0.179170511906627,
10,0.00105914234335219,0.00287737975112701,0.0121655675467671,0.00496830082358216,0.129491517359745,0.0180479327155552,0.00469055977871556,0.0483075178308625,2.36787880890938E-05,0.0851188124788712,0.00323610288930653,0.0330212495026959,0.00793080702043586,0.148314795108396,0.00330138554480171,0.0160223437237361,0.151222709876098,0.0928675148879826,0.106639600355943,0.0140726657520511,0.00504865617237784,0.0992717607247281,0.00179648698687646,0.00318810178762604,0.10039655638731,0.0236543823099352,0.0134141873445624,0.045692083355106,0.0508118784930743,0.0138214492081061,
11,1.51266851154932E-07,0.00240394891088302,0.0117108616233805,0.042946791990312,0.210354136280332,0.0179175711349569,0.00605319482582644,0.0045889821415623,0.380546224623549,0.0156305919345838,0.00158484622989244,0.0420372654821204,0.085513742005155,0.0209382585207146,0.0225054274411804,2.26402041824363E-05,0.0110672174505624,0.168958071365491,0.163731912701884,0.000540326301939302,0.0569766519466485,0.0310105787868124,0.0533153536195582,0.0259648933929489,6.28263974177376E-06,0.0125037196344725,0.0088927030706987,0.00399510347584661,0.00856008734063433,0.000653698283421912,
12,0.140464990968756,0.015081641135982,0.0257924885703559,0.00274340766709057,0.00845063661842476,0.0208044374981225,0.0130188511486166,0.0540602020977967,0.000542796492882891,0.00206393899217917,0.0233025134141373,0.0587835150889024,0.00512431843299623,0.0530313915658497,0.0192997045923371,0.00960873020711856,0.0236616300595891,0.000255460239186258,0.00722072821068533,0.0437050790906711,0.0493487100737046,0.00937764303778716,0.00299086300010779,0.000294709418449715,0.0755957620755645,0.0900191361501675,0.0686572494097983,0.0296849274556472,0.046902586926982,0.0498545334843491,
13,0.0135996689088727,0.0157007040649187,0.000230323229908388,0.00445990996960662,0.00656793362795918,0.0032980851574195,0.00691094765536471,0.00246498135625646,0.0108488564920855,0.00293730046851966,0.00563019088685178,0.0457597657500487,0.039945086243601,0.00667042205917976,0.0132226932986841,0.0032771441416014,0.00684033981025037,0.0301327952488065,0.00332894799605541,0.0293538613782021,0.019292987391837,0.0211320655045765,0.000433656358482257,0.00133552949540505,0.0556042705700778,0.134791421323909,0.0125322436499206,0.049029901186298,0.00187178717206537,0.0327664995683799,
14,0.000615222254579791,0.123002682124033,0.00229469697091889,0.00201834570168162,0.0282446540431436,0.00543142391231434,0.0260686211996436,0.00659318291187765,2.80446569331108E-06,0.167505611544474,0.00855087859990516,0.10749849414364,0.0101754063205231,0.0715762926516257,0.0159835314753648,0.0559719668369778,0.0181528492188362,0.0286161542346477,0.0114850387156462,0.018266140728601,0.0505086804525387,0.0985870720509995,0.0398473170067965,0.00342222655025757,0.0370305405107667,0.0177717897408478,0.0380238410243302,0.0284224290725644,0.007925271670309,0.0599017391440082,
15,0.00518594311535509,0.0258465706914639,0.0049394946443654,0.0284691837330674,0.053470702501189,0.00284190949682418,0.0212830015603597,0.0342406994140806,0.00022373071420935,0.00214228913379657,0.00316416987525247,0.0047716006501139,0.0129079022536223,0.0582673433050914,0.00320550580071983,0.0030549802718219,0.0154788032965785,0.0995889822609665,0.0254742684443583,0.00398823313994912,0.00576627389861272,0.0122528695167915,0.207425657937673,5.69790951069905E-05,0.0113521013565674,0.00746991289771709,0.0113537833901112,0.013651701313588,0.0151063457943636,0.000542950286088967,
16,0.0194379057307846,0.00796066274104113,0.271153310380905,0.00503280145888287,0.00328884990171681,0.0297564104940207,0.0338684192856117,0.0602205222967634,0.00722780529204242,0.000236465458333392,0.000907427994327098,0.0685993238894217,0.00480051945702914,0.0269995246435144,0.0611434455756969,0.00817279839037369,0.136995764178717,0.0317219579435167,0.0252532281182241,0.0058133997535064,0.00570743369728495,0.00283836282981517,0.0146872097221698,0.00163855497500883,0.0121228010401201,0.0104287827305003,0.0506754649531729,0.0253539454626702,0.0234364659589226,0.0133796998983229,
17,0.023700840394995,0.0108376909532105,0.0189667165378775,0.20009021776331,0.00101361492583425,0.00693247418432382,0.00321430478156748,0.000199422893131472,0.0201680953137136,0.00388659252628761,0.0166620559133883,0.0206637756469187,0.00187817816309015,0.0176560572254007,0.00406518831103412,0.00139112691034473,0.0181302466655027,0.00330614262007017,0.0103929297806169,0.00732870955660854,0.0350544737310593,0.0364630455686181,0.00118643479301739,0.00151997534629891,0.0407157531884933,0.0884104276217334,0.00961593559408335,0.0212486605374702,0.0835370357268104,0.0591641213976542,
18,0.000132418279472125,0.0125285198182688,0.0306923457111111,0.0685579648605631,0.0907780681157487,0.102455328365116,0.0246741866546037,0.0143036110545152,0.00472268380018906,0.00138462446055433,0.0219909197733113,0.00126362068534706,0.0362203514233652,0.00658743004372178,0.0654254315147358,0.012755702901522,0.0130308312994271,0.00353168691632179,0.0634100113007363,0.0123953316240165,0.0101846464315411,0.0083442006981001,0.0482213723702321,0.00148495677899573,0.00352711045707503,0.0605198121102018,0.0376791560267146,0.0424523070453403,0.0228141072777539,0.00427837284970181,
19,0.0724014217404239,0.00648973872313957,0.00377758315692652,0.0135819647069347,0.054103843529465,0.0854720019737445,0.0475982491460655,0.14319603568524,0.00212811657866859,0.020709338738612,0.00353603949393485,0.0110378512309653,0.00785719758951999,0.0492143479234732,0.00418829354804188,0.0955200544257796,0.00458313604141599,0.011858057035588,0.0172827915549749,0.052706456323823,0.00289377264490715,0.00432309545438269,0.0516745185090504,0.000244109493025052,0.00631049729816597,0.0103553285519589,0.0153679740885315,0.0235414170024939,0.00363664958761106,0.021971777321787,
20,2.1318776026186E-05,0.0814617897651554,0.00606816796687049,0.00059271757614133,0.0971577797952987,0.00116255567193271,0.00270968695509255,0.0561217351265003,1.24404053841081E-05,0.103543615165538,0.01464496582345,0.000763735644685384,0.000703541899968257,0.0385402918739815,0.0299018712503704,0.00702533524435078,0.0611647338159355,0.0847622027684706,0.142883633598965,0.0113543343199903,0.0170384347434701,0.284081487805626,0.0346726363835913,7.80457608977948E-05,0.0801968217433896,0.0640520850567981,0.0158345446655961,0.00872042660451986,0.180232301708932,0.00845796187916223,
