State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
Initial,0.00991978927477957,0.0132073359709215,0.020274331647963,0.00307122615768072,0.0574315865156167,0.00477573539018747,0.00418900210760654,0.0402711361520694,2.42659904994282E-05,0.00126129465184028,0.000220265978068964,0.0117779470480362,0.0119084963926177,0.0393298985348213,0.00573246789823279,0.000184967702423025,0.017918351758706,0.00223068221104207,0.020865075189023,0.00234701275325972,0.00420525301021144,0.00107991325567859,0.00623020147431487,0.0371691908768415,0.00224654229710632,0.00736046947072168,0.0197970162799199,0.0352312683746081,0.0151686118271437,0.0123443618392887,0.0124776503356438,0.00302305360708496,0.00398425045957663,0.00823114728813379,0.0447911434983281,0.0858644040355139,0.000141451574431543,0.0278091189632566,0.00987400466830118,0.00173299066120663,0.0404899560082354,0.00186898875564192,0.00259705685183258,0.00284916321130658,0.0181505263164005,0.0331897570134395,0.0186225777539443,0.0200387655188233,0.0118279663472285,0.0186635707551126,0.0332489768702198,0.0505562063946074,0.00255116612778896,0.0869407636399543,0.0166532283169938,0.0143189756436307,0.00306133577434407,0.00871526919554088,0.00573971301152733,0.00421312337071927,
Transitions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
0,0.0315641512124851,0.0237657167510389,0.025044947739747,0.020879293287175,0.00421141608259061,0.0256271322811558,0.0231968187977816,0.0119383064052046,0.00771624650190813,0.0257522538688355,0.0127361020380052,0.0113476703055613,0.0100250449290333,0.0255632328796276,0.0155056104786937,0.00116162363458971,0.0242759948355578,0.00615094287239283,0.030776434929201,0.00772446208844549,0.0243383592190973,0.0194446588559679,0.0303281800140937,0.0228083452715769,0.0227287506676142,0.0224364294581354,0.0171918875191801,0.0182433276225821,0.0061267843668454,0.0193297233507291,0.0157802318802963,0.0238395176575538,0.0181366009828418,0.0155316564989758,0.0326727287319453,0.000627176036842186,0.00444437486215146,0.0143898985372766,0.0247651874500809,0.0257396840083468,0.0299226822860707,0.00717400981688985,0.0174019937928864,0.034531546336199,0.00716199099767133,0.00302460891638369,0.0247371721380674,0.00631995150118479,0.0277756408705412,0.0142300112479313,0.0288606800138158,0.00132453836767393,0.0164168883388883,0.0158506686745385,0.0147138580469971,0.0197443815882709,0.0317113916974548,0.00592193037680455,0.0124637772261279,0.0269541022841845,
1,0.0251698292838028,0.0220847744097312,0.0209369460453132,0.0360479997165342,0.0334579623111011,0.00932609168115418,0.0103233970171473,0.00380947949858244,0.0224359100508722,0.0335236273474077,0.0143230153466039,0.00321211180845515,0.0228135195892883,0.00607772777242029,0.0351170889239631,0.00499253661934832,0.0227348931002668,0.0161906546085141,0.0121027447018307,0.016573830501242,0.0339431868274826,0.00761052957465848,0.0153687582363449,0.0119171055455086,0.0321187273600327,0.00760195832336404,0.00497693368944749,0.0203504829764431,0.00913240863001199,0.0338255774095372,0.0287994349175122,0.0239255452591661,0.0117098210459177,0.0138065287572376,0.0274949577964996,0.0337149558682509,0.0131620981565256,0.00997249599111043,0.0148901156556332,0.0256210177903339,0.0122963675441631,0.0180077729915346,0.020486148667397,0.00657380723593666,0.020930402381483,0.00162354754844433,0.0167322205378712,0.017039579376102,0.0096627388042795,0.0293207437451728,0.0222839883455137,0.0276896316843703,0.00621736245541259,0.0126035577108442,0.0324062899587105,0.0269097129211125,0.00455344571765887,0.00858680480777894,0.0183311983342379,0.000134143660217516,
2,0.00227337404364451,0.00583423550300126,0.0226158162203136,0.00868370153798632,0.00902060863453789,0.00212791512678171,0.00547379945774915,0.0152145907753336,0.0134105644137639,0.0275529179094597,0.00672278055752528,0.0110742512364502,0.0214073966655315,0.00092162416194939,0.00544568845298099,0.0195489479093494,0.000328079446668384,0.0247740101945452,0.0245275531019629,0.00662621172825925,0.00314632369620771,0.0186655367449988,0.00963170547094237,0.00124136379644261,0.0145202396138655,0.0239740029165797,0.0181941406239693,0.0178206648997643,0.0192062852686183,0.0117305980136791,0.0201188258538468,0.016824026520144,0.0180039075778561,0.0211761303970386,0.00662491523620992,0.0220651606770374,0.0223225852909053,0.00988388367229049,0.0144548451974035,0.00764553330197581,0.00276684205114403,0.0275123742513152,0.0154839273031734,0.00411967337050423,0.00298249931134888,0.00585041095937937,0.000659538349075501,0.010405509357539,0.00169893020360631,0.0254165226642543,0.00206560408418413,0.0242251548675386,0.00149096282693574,0.0189954746045396,0.00119935542142418,0.00499495328785689,0.0202187795815985,0.00230276834942327,0.0206591004638672,0.0213554788807396,
3,0.00289699250428919,0.0236487721902819,0.0254715810201437,0.0283227976653378,0.0392626568679564,0.0175797664416224,0.00265224714414021,0.00282659030940399,0.0195551981342444,0.00632658458291321,0.0113510088249584,0.025031597422043,0.0248313121814887,0.012145172096976,0.0108176508573151,0.0348681341487907,0.0012581099201732,0.032851371064748,0.0202984618303282,0.0142717489749539,0.0346644943547184,0.0116003886019792,0.00751588882972106,0.0185286918154001,4.94117936948111E-05,0.0256364117094423,0.00200874133416141,0.00636398084329449,0.0293792471236446,0.0425995514533279,0.0306349872784397,0.0284063016831526,0.0205611290383898,0.0103126119351546,0.0260307981300208,0.0435428381252349,0.00392264088786764,0.0095280575957717,0.0319274116216126,0.00698232040508801,0.0229188773778312,0.0219253665394369,0.0269433743226888,0.0286326718981629,0.0056084954096296,0.0232207374852824,0.03626047690151,0.0235102027589275,0.026141378247536,0.00361961902229965,0.0350692589757252,0.0307405893796336,0.0390154225886839,0.032124101149985,0.033372963858592,0.00458358501186839,0.0184377229078892,0.0137817130646451,0.00556548139788268,0.0160530762204816,
4,0.00062014866784515,0.0264126529667424,0.00910798593154065,0.0121894523192263,0.00508258406792949,0.00639157731274239,0.0129662100395156,0.0290922985323297,0.0186063634468585,0.00415440492593479,0.0217146072485305,0.00499733417659553,0.00289919182312072,0.010610542361426,0.0206613920844908,0.00447738498775788,0.0189069348560355,0.00489408754471575,0.0170072410856793,0.00968315932636373,0.0230958821341691,0.002584576921445,0.0218091364247622,0.00620267599237483,0.0300319735385901,0.0243963564944593,0.00271238063443933,0.0153015368941002,0.0225419404980418,0.00508744203271306,0.0118531844133287,0.00484308930596634,0.0113409608203449,0.00408440478209509,0.0161121614181672,0.00262226290132524,0.0118212164368911,0.00834840135545368,0.0063254091123295,0.0280389598539746,0.0116248351647227,0.00322855186548907,0.00211528683723364,0.00625102428688351,0.00854963378983376,0.0264402973643273,0.0155937991096492,0.0112873442705606,0.0223741747939527,0.0213424732651055,0.0125114912568218,0.00566262008047877,0.00193721949836971,0.0237581726051052,0.0053665181490717,0.00434644648157766,0.00700091696056497,0.00673058622355284,0.0153023811016138,0.0172874652775589,
5,0.0266890986974546,0.0190923495163042,0.0265590352361336,0.00943766412437792,0.0130402780731352,0.0290207962810592,0.0341037885835386,0.0229525243981665,0.019345628608069,0.0102968704185066,0.00685351420412982,0.0299101073573095,0.0198566536428337,0.0206595658984039,0.022088805295351,0.0295318031006015,0.0267424825676586,0.0167456714366365,0.0104883426312016,0.0281599649389182,0.00874238336947561,0.0322589868998277,0.0302156169847719,0.00171500687973728,0.00631259828932729,0.019665262539019,0.0270035699551261,0.0284108532950123,0.030807134921463,0.0123026948423643,0.0166948523015764,0.0277225549951718,0.0256729184497351,0.013994894986207,0.00394940771713613,0.00123754444541296,0.0289006503705634,0.0298272459387321,0.000838841908055066,0.0299135120549727,0.00412325802110153,0.00170107844434547,0.00957338579720502,0.00302375390772901,0.00959394366707991,0.0215375163034352,0.00210850239992355,0.00703221006340461,0.00249622664454022,0.0259422306364405,0.0147812496546113,0.00739484367796169,0.014110396330163,0.00105325501605366,0.00516753474844614,0.00277948938883831,0.00990063851268608,0.00553193991850868,0.0249364643622347,0.0223755030316423,
6,0.0279202988923915,0.0295339124787219,0.0105171383959413,0.00304037718982895,0.00227806915300486,0.00818500406282738,0.00181995144040349,0.0141753353735741,0.000616591620312777,0.0133151176842446,0.0319875069800364,0.0311146626980772,0.0294345162469046,0.0124709896198988,0.0151020943985796,0.00834187846049246,0.00748694978698422,0.00580638640134472,0.00101555016886493,0.0310307182123676,0.0220488066035727,0.00694878351356998,0.0245292740830002,0.0159910629011129,0.00351766597853203,0.0200978067681136,0.0168443452005252,0.0112005396776704,0.033150524176259,0.0150518520843167,0.0167140074225811,0.0357114470064286,0.00853492362657976,0.0120963676137145,0.0038841662466339,0.0067157165302841,0.0282036012885373,0.0265379413549382,0.0349240885484649,0.0133389559103696,0.0277196085356823,0.0336177918443085,0.00919753688690296,0.00264738167076942,0.0353234918977787,0.0261526085572415,0.0320791072579497,0.0046770774934345,0.00434535867977491,0.0263686326321017,0.00231514343681889,0.0159551262307523,0.00325306812532609,0.0068262152105034,0.0231741840956409,0.00646637255345734,0.0127671324610211,0.00526538325372684,0.0275622160450974,0.0321798632145614,
7,0.00898971304392796,0.0209353847720362,0.0182948008593557,0.0239390560725741,0.0292893592857462,0.00110707659831202,0.0184624661645739,0.0294625469339747,0.0246964422024436,0.00742074045218169,0.0236317669179814,0.0167161029506952,0.0130735766722571,0.0123366550396633,0.0178134631800469,0.0123599258762629,0.0252793396726287,0.032138921464853,0.00271797346584782,0.00300171959346264,0.0263469011664241,0.0210309345000764,0.0289525477992007,0.0295561332736961,0.0159023076995016,0.00647461052038572,0.0135447505512914,0.0161061854988843,0.012859560889252,0.0127222760999437,0.00246921409191466,0.0199148255326018,0.0163917007577238,0.00830068726399411,0.0131938214790278,0.0281623754699077,0.00155964583330233,0.0186340949938447,0.0197516979244865,0.00802055180540228,0.0202201283477548,0.0280047629763918,0.0122019441484141,0.00441249389138932,0.0171028320204402,0.0136244152428614,0.0149791064023832,0.00899236627783302,0.0191536330567226,0.0163629671356562,0.00672088865202874,0.0157981517898447,0.00180240354342168,0.0163143084701307,0.0280920854356624,0.0359835705453268,0.0339986679486952,0.0180438649956415,0.0240795381208714,0.0146446997554442,
