Iteration,Run,Score,Time,Ticks,
0,0,68637.0251256855,1.182,2765393,
0,1,68703.5228941676,1.469,3437056,
0,2,68589.4298277192,0.911,2130451,
0,3,68713.6852448975,0.898,2101167,
1,0,68638.4280052926,3.008,7035243,
1,1,68645.8427463086,2.938,6871217,
1,2,68694.7757823475,4.349,10170800,
1,3,68699.4299308749,3.637,8506008,
2,0,68653.2679833886,7.819,18283986,
2,1,68606.3130200704,9.52,22262906,
2,2,68672.5938833684,8.607,20126539,
2,3,68672.1254979402,9.572,22384972,
3,0,68635.2898895883,17.941,41953207,
3,1,68631.2005365781,18.142,42423460,
3,2,68641.6507193005,17.873,41793940,
3,3,68652.0705471349,14.683,34334327,
4,0,68631.1985918305,22.509,52634013,
4,1,68681.7822465515,22.693,53065248,
4,2,68649.7098112499,22.484,52576425,
4,3,68604.8324233662,23.729,55488874,
5,0,68628.4411402908,40.833,95482029,
5,1,68659.0683210048,36.499,85347723,
5,2,68655.124836806,36.49,85328561,
5,3,68624.7844741935,37.047,86628852,
6,0,68625.9331144418,49.567,115906013,
6,1,68635.9228975973,45.442,106261563,
6,2,68641.0467729394,45.343,106028151,
6,3,68639.3092763243,53.159,124306334,
7,0,68669.2546472188,65.891,154076326,
7,1,68651.2439120738,64.547,150933692,
7,2,68656.1908048007,58.203,136100731,
7,3,68621.7177140406,66.587,155704880,
8,0,68655.7921068045,85.778,200580202,
8,1,68650.6926578301,86.094,201319452,
8,2,68633.6502101233,94.314,220539118,
8,3,68624.7451397343,87.966,205695952,
9,0,68650.336695335,98.725,230855186,
9,1,68639.4518530122,109.511,256076873,
9,2,68633.577950273,110.422,258206792,
9,3,68630.3967007856,110.801,259092396,
