State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
Initial,0.0258772117163471,0.014550316091603,0.00174334038823182,0.0335041389188249,0.0336418102892971,0.0354363571862259,0.0719776850950389,0.0355766184895164,0.0242657463804434,0.0912565627581647,0.0387569631203384,0.0238689795853557,0.0669369621540188,0.0567981216567235,0.015814091285076,0.0526157202542254,9.95084470546507E-05,0.0268193502794655,0.00499396131227662,0.00182207131745993,0.0587376390875345,0.049904197031902,0.0867255885559369,0.0157972549156079,0.000168673865149908,0.0146411495234419,0.0303564062259813,0.03460456310001,0.0525280335947627,0.000180977373987074,
Transitions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
0,0.0338093986498414,0.0090208948008672,0.0483410955225443,0.0575353088447333,0.00765378709236464,0.0305300564609223,0.0512803575665557,0.00961744669362448,0.039671595459818,0.0671753945653084,0.00656902890239007,0.0130926138957699,0.0116509794846809,0.027529131773261,0.00268475078234468,0.0491426378972322,0.0489843376954654,0.0458610576392777,0.0195347514448485,0.0337565859291312,0.0466507819597421,0.00256935547140011,0.0594956947582156,0.0105234940402404,0.0251909508286974,0.0295847619184046,0.0483048824739402,0.0400299452973373,0.0355240412802731,0.0315918492760456,
1,0.0690372761831929,0.00570152309060256,0.00010850507258849,0.0441622907707662,0.0473029647218252,0.0160169340673375,0.031147200414924,0.0240819019891881,0.0305592909157126,0.0311501442818808,0.0312098496456633,0.0448983491136005,0.040477019807242,0.0152608017215216,0.000213883652286559,0.0502355211262726,0.0438539434562045,0.00916770885718735,0.0429249566410676,0.0381426461677127,0.0316356743496294,0.0456590245388323,0.0429401268802834,0.00853277516183402,0.0084632680430837,0.0156305482720649,0.0525924696055848,0.0253963930492823,0.0159716137088948,0.0198161508897411,
2,0.00450934594012796,0.0240063866510824,0.00379550344876149,0.00405506217949127,0.0472022313091015,0.0326197302991769,0.0170677783852629,0.0476799219678947,0.0378074619188413,0.0470573038708357,0.0506936038275642,0.0416375254914678,0.0300158145378665,0.0518915339068953,0.0426326581349225,0.0396459903140201,0.0412786909382848,0.0071175065172012,0.0572873269348831,0.035028242918346,0.0538649480265577,0.0530108072626882,0.0346676644541445,0.0513653948940134,0.0589024745008848,0.0437066164769491,0.0468144217411818,0.00131302999434916,0.0545750098838598,0.024129681782741,
3,0.0286980978550027,0.0218440172688742,0.0286851776204416,0.0443558820367733,0.0261427126299151,0.0148749311729251,0.0478464027949587,0.05052292040376,0.0463679996759806,0.0411150986874804,0.00332052629951161,0.0287080463192972,0.0570341527314847,0.0223835277544724,0.00258033798641915,0.0366783050548077,0.0470440075646273,0.00275711059752978,0.0494641718125638,0.0497880207893606,0.0188944735041007,0.0420537206938138,0.0518459132217824,0.0165211844602695,0.00692555009245819,0.0548701358760123,0.0400945380242498,0.0363352186711321,0.0241062217985856,0.0385332142230573,
4,0.0257876661900504,0.0259105460427664,0.0102558957608855,0.0303333207573727,0.0400997794216952,0.0593221792379158,0.0505420891746083,0.0219516371951387,0.0541035648687245,0.0568076147970492,0.0231051361606441,0.0542042149480097,0.0179587214178993,0.0345487373811133,0.0376250376011811,0.0362688886805269,0.0133194510792251,0.0186877937323588,0.00888315829812494,0.0498542843164811,0.0320816759934334,0.00622738739907364,0.0314920255036409,0.0280110224680658,0.00500803914303564,0.0633556574871313,0.00832839491639741,0.041256254680309,0.0245811763689842,0.0186343914273799,
5,0.0107123796855773,0.036799113921149,0.0291278604971786,0.0617718084044969,0.0260672104470167,0.0497305744952552,0.00921270025863223,0.0246511036315534,0.0641494308932679,0.0400344677443378,0.00557880283491166,0.0539592861407074,0.0366423841070083,0.0735632509965093,0.0527648492544441,0.0223114586982182,0.0115889508169124,0.0663065940508183,0.0199536113118997,0.0530728590285897,0.0184454339348095,0.0284012033212237,0.0191485170019462,0.0153804283875024,0.0070526222787422,0.0354747579186719,0.0312079468629396,0.0328971910186253,0.00519429703072745,0.0225669001561831,
6,0.0482922835225115,0.0191322658923826,0.0222606442221126,0.0202362483816855,0.014415215516838,0.0428173020206487,0.0406731863690107,0.0290305116244537,0.0136022193467229,0.0440485064916636,0.0427180040487868,0.0338936162868979,0.0302191408928536,0.00995637965436445,0.0353709549962591,0.00539132460620548,0.0495592440556477,0.0324516020822032,0.0534607546689477,0.0110091882291627,0.016278549756596,0.0416718016381094,0.0371876219426168,0.0344854069332833,0.0658836249090651,0.0101888017876983,0.0463506327873421,0.0388431563378426,0.0472961160800955,0.0307600108938244,
7,0.0375603628541821,0.0228272343918672,0.0234481375150528,0.0173943189127362,0.0491600063027212,0.0103378125142424,0.0196500254932268,0.0492423622575766,0.00184838858700903,0.0326188704277283,0.0358448925559151,0.0164588342004379,0.0406070511901064,0.0580747442738176,0.0565973030224964,0.0392993640139481,0.0422946242614245,0.0225914060373616,0.00154956461815774,0.0393548804768629,0.00905973672329483,0.0339566183003794,0.00436002260234292,0.0647254322183384,0.0703404747944511,0.034635723930065,0.032065785512949,0.0258311651611281,0.0451554158873349,0.0229044233011866,
8,0.0548409942642569,0.0258836013698995,0.0600623829452769,0.0463824744935177,0.0214109631403463,0.00503813241682536,0.051724513114693,0.0320384394782439,0.0744888565928154,0.0608614190126252,0.0242671079970468,0.0402886412885918,0.024942635207822,0.00921388585688806,0.0555261849789822,0.0234713819488154,0.0658363380308291,0.00152673285310496,0.0693328757750008,0.0421490334114705,0.0306341053150174,0.00140878410450843,0.0433003266297378,0.00691509378092923,0.00881528726187109,0.0193683942362356,0.034094360376423,0.0435023507889701,0.0567237535652919,0.0338218517123106,
9,0.0202868509516015,0.00815792233291801,0.0246671168128944,0.00194901178015705,0.0168872990712738,0.00666193786063322,0.0390557255333131,0.0285130670234706,0.0256734725149638,0.00333151569160689,0.0263064592569069,0.0323688728460731,0.0433668115959455,0.0374806414974852,0.00124153379166599,0.00610521156123932,0.0552450326103769,0.00982409216695357,0.00426964543892285,0.0374282973823131,0.0356131508780901,0.0199615207247788,0.00836818032609133,0.0216427231139174,0.0519018743502786,0.0354444389668047,0.00359571202314937,0.0580710218908093,0.0263889682393711,0.0552738051495428,
10,0.0460887666966414,0.0682497073840148,0.00308273050915905,0.0380908563095289,0.0294318065103001,0.0647412413289794,0.014937933854797,0.00477421881269097,0.051459061273421,0.0232880342958167,0.0269700652028476,0.0385663096568731,0.0724631525188712,0.0347998661688194,0.000940559137692265,0.0385270288527169,0.0322479082341252,0.0399872290909673,0.0794540885123617,0.0647357319312585,0.00261118281326492,0.0646064638181672,0.0106122216965885,0.0538296934948451,0.0638192642123389,0.029765186866538,0.033447886907969,0.0526071392755956,0.0429525730342638,0.0595737707261079,
11,0.0730843940726726,0.0296983462081543,0.0250576465803602,0.0485471036975512,0.0275476726420698,0.0612177473607494,0.00398840638165314,0.029100727314821,0.0587363457715181,0.0462179607254899,0.0274845967396461,0.0446644202871881,0.0341472446777988,0.0750698021406953,0.0490570264737789,0.0143858083154953,0.0660086634842343,0.00908984551867047,0.0712895738633555,0.0405941562506581,0.0517748119034243,0.0274495994654387,0.0507610331677467,0.0815677800162944,0.0354638377030184,0.0416081328776304,0.0577905668416517,0.0433575050430071,0.000647175037950785,0.045248215526471,
12,0.0610870542730643,0.0523417958714274,0.0435334829088421,0.0453154133016155,0.0442701584971038,0.0449195931266912,0.0505758143205897,0.0260398315850532,0.0261095600049586,0.0231229743422151,0.0254620436756225,0.0524354215599463,0.0182090964187521,0.0705998045907876,0.0244370637178551,0.0130299675144537,0.00459130290376305,0.049736207251738,0.00521231558522699,0.0532207706586887,0.0524206603017449,0.0555198711959071,0.0101388141116142,0.0485629078090976,0.0359961761622365,0.0130772674628437,0.0267529046356428,0.0592769063342551,0.0543787863333315,0.0476421290316909,
13,0.0213439058128154,0.049645994638981,0.0518879963520616,0.048115872734327,0.048254192647325,0.0183919740704947,0.0187284052866205,0.0501619756549252,0.021534363474985,0.00320053120202003,0.021985349186121,0.0223068083918662,0.0142284048518503,0.0740262334114596,0.0405118418780221,0.0133973471579991,0.0136252808596006,0.0567280982890533,0.0193817813193164,0.0304826069291421,0.057070451787569,0.0410771519205887,0.0258652826531595,0.0248975007476481,0.0303343163897021,0.0580684554169235,0.0328078813737876,0.00147520540836346,0.0375305492840902,0.0338438221291481,
14,0.00712974981227859,0.0365525845559213,0.0156327602793441,0.0418505647419227,0.045140459773538,0.0452198737982825,0.0540256146025887,0.0723395696646621,0.0126023508471931,0.049641466293233,0.0595917478258443,0.0138373218530034,0.0772834985385191,0.0852951290004705,0.0160099797226449,0.0219327182790526,0.0620466517814333,0.00653873604269041,0.0340410054136144,0.0398267210069378,0.0437406026099406,0.0448613358617706,0.0583360711224701,0.0443824544232159,0.0348981945132492,0.0334675440605634,0.0615219480111889,0.00479728193659163,0.028245533825264,0.0182981879852365,
15,0.0308668945803935,0.044572005616595,0.0438576475081743,0.0086292587872596,0.0561153858137256,0.0559839433747299,0.00574335833590972,0.0374286722447059,0.0108456986977192,0.0222650673049757,0.0360031212832893,0.051331546635245,0.00961467246840124,0.0143124340255625,0.0327058547010192,0.0178812994082749,0.0254036884567124,0.0488355112544325,0.018038138917756,0.0102401738331126,0.0567473142263692,0.0271393903160461,0.0114975404613691,0.0204800280327327,0.0470240537096201,0.0374328130820326,0.0184466563251179,0.0459664617039141,0.0377632054299604,0.0161305904815902,
16,0.0599864310497265,0.00242553474212253,0.0412616131666025,0.0501716250037716,0.0135257023039604,0.0506669534671986,0.0359724819397076,0.0427552814452033,0.00166482585388004,0.0263989534034907,0.0426845646374301,0.0333562362754549,0.0355404002435883,0.0127967630811216,0.0502511902300146,0.0436729838312103,0.0202615743975522,0.0430346654920197,0.0348464371882096,0.027243821330293,0.0160816090916488,0.00637492097956308,0.0236883472458651,0.0354347733995668,0.0251338091821977,0.0144162761701442,0.0276185800288651,0.0382611856055203,0.0581023651650014,0.0225178423472997,
17,0.00241215263818659,0.0312826556098771,0.020429185538729,0.000249594456472194,0.0550920571967604,0.0144592137198937,0.0531336437688936,0.0258269555852667,0.0248567610785748,0.0186280913937827,0.0555371751507865,0.0133205386224201,0.029737517413404,7.55701870719535E-06,0.0296981392134458,0.0411304520643852,0.0053910968313148,0.0521533455956493,0.0296859189848627,0.0168531132543549,0.013474493128957,0.0265818170990035,0.0364758065435772,0.0209516999505566,0.0428341836015834,0.027391327478518,0.0308069958408332,0.0485253732185112,0.00155789136553613,0.026407189264061,
18,0.0766466629592832,0.0116022055887699,0.0606673997503517,0.0466071163567393,0.0295688174773628,0.0451885097251845,0.0554489992385552,0.0305049353773489,0.0312960213096716,0.0589717945956428,0.0570272306716053,0.0520193085542569,0.017110430353867,0.0219831268461668,0.0261633001049534,0.0427339821714713,0.0284289584447427,0.0421721312070321,0.0511432448880673,0.0143124380637135,0.0537294359850952,0.0383391724798607,0.0448464907153514,0.032747218545848,0.0746474267672243,0.00655649869768523,0.0391798088699889,0.00672311400668766,0.0303349291477749,0.0479063102832858,
19,0.00706049227182999,0.0300304618700235,0.00785533727226522,0.00422662493479153,0.0346032746465404,0.0111741636385756,0.0126469870891776,0.0186303112490406,0.0168224885965803,0.0320654756883013,0.0319421853183178,0.04591215699395,0.03538300196728,0.02331310842823,0.0364345978631945,0.0265951126731151,0.0607582425683963,0.0286949579419909,0.0319890076167198,0.0374681390868535,0.0454650837032918,0.0466638992158678,0.0066480806289583,0.0135910558501661,0.0194308981266672,0.0374057410705159,0.00741718048064941,5.2818629469935E-05,0.0583286154997318,0.0357927885911219,
20,0.0135776194580298,0.0268519151680367,0.0375870947849183,0.019049704980374,0.0607696124881922,0.0442021367301459,0.0293447095688471,0.0101899448349201,0.0226672586977333,0.020179905109501,0.0531509200586265,0.0386336271942505,0.0209336640377947,0.000117522353837115,0.0427564011122382,0.0391010791407627,0.0262833352914654,0.012314907388459,0.0356049050322398,0.00573297086299904,0.0381815255869299,0.000302201892974474,0.0286348088356188,0.000163010521330443,0.0706354268618767,0.0489483706137883,0.0157374392972682,0.0212562175231815,0.0488037562818499,0.055171477745941,
21,0.0344043521907773,0.0201971340067884,0.0492798439866071,0.0306884861855099,0.0183675876880253,0.0309417459587365,0.0226859418936564,0.0494879233601165,0.0108227109350249,0.000527270636677787,0.0256604551184113,0.0230553579088532,0.0378042019376946,0.0102098634202037,0.0326390643953016,0.0384405398037129,0.0136693631906941,0.03895671848364,0.00472370626636707,0.0451492913230142,0.0174238603305362,0.0462670672674173,0.0515397595293239,0.0480721812024067,0.0424659850416651,0.00376345167103252,0.0494900197461975,0.0180382083288307,0.00542114500631856,0.0344629480348583,
22,0.00724352293176594,0.0344181313809456,0.0312109435340899,0.0510119671985515,0.00518954419532786,0.0379054822261145,0.00526889020678303,0.0304542111469851,0.000432561420381943,0.028600518780768,0.0403701736248049,0.0103448745068502,0.0195830581562273,0.0151838365001507,0.0175198777776052,0.0452551198991466,0.016996190348319,0.0322933883579842,0.0417098104992838,0.0116626641782137,0.010641802210204,0.0428273554544064,0.0365338782426185,0.052809160911002,0.019557677363419,0.0207470282852168,0.00251258077970083,0.00982029599867042,0.0264472783247482,0.038048002493811,
23,0.0205851424308461,0.0455615213337073,0.05974235865785,0.0206289347437568,0.0302001431598905,0.00930288744350157,0.0215560510050061,0.00578898464181062,0.0377967782849997,0.0426332526244254,0.027959758177399,0.0137527565730045,0.0159368579617316,0.0664434677584051,0.0488849898656801,0.0316155333332434,0.0485101744697366,0.0491031049001086,0.0237441473957446,0.00932228976922695,0.0259264157849377,0.0139566395045464,0.0314477966423215,0.0468135639851759,0.00514043822036069,0.0029502194791071,0.0331563883441846,0.0211795322704045,0.0368197467615808,0.0482484427580906,
24,0.0014538260618063,0.0551161273814178,0.0511865448322084,0.011754140082323,0.00890376285333153,0.0280492094659124,0.0610245319988851,0.0541025782244632,0.0676338673152313,0.036903610553353,0.0359372747724296,0.0290656533088323,0.0562855117011026,0.00258461865132266,0.0238117321676821,0.0553917008333635,0.0134032103860021,0.0706808671773585,0.0627643945967436,0.0394393912623759,0.0379067181729539,0.0308115005175436,0.0393548635879373,0.0129052633309999,0.0444076847554624,0.0218516819689954,0.049811367452448,0.0239320364434949,0.0483169174666577,0.0462298873351184,
25,0.0535620854311471,0.0721964876300547,0.0587472440317275,0.0757847685014576,0.0255749602079669,0.0593467892017071,0.0732202271069721,0.0301750668463003,0.0277974060020485,0.0320121067041266,0.0703798991004893,0.039139528983268,0.062235849713692,0.0479970335316422,0.0155818729249049,0.0341844449068307,0.00773006657430516,0.0504412088641374,0.00892812963112781,0.0175325767633377,0.0537417590414262,0.0343202694631223,0.0264666746330708,0.0839060693397677,0.0360054398994951,0.0620784301032825,0.0293992810715875,0.0693503587571088,0.0248294967218879,0.0289739594092057,
26,0.0261353979683582,0.041545731120207,0.0190024547870737,0.0249854879152995,0.0362490321352041,0.0378194604330061,0.0289683636429517,0.0231562590398737,0.052589082082078,0.0228964095415438,0.0495530811091238,0.0318764319352294,0.030603716647314,0.011325566880785,0.0567231481559425,0.0359497705040367,0.0522128094053923,0.0234397094896967,0.0372593022768338,0.0459233210213368,0.021614687996936,0.0171112777830183,0.0455320816610729,0.0516889898332324,0.0197580992294478,0.0568520084146749,0.0516262736103805,0.0460243362322712,0.0120532303180148,0.0367275168724533,
27,0.0612597357245936,0.0540852764204147,0.0499795682319919,0.0095609022415377,0.0535295431566425,0.0273152946084178,0.0306026599809558,2.55434209713044E-06,0.0571834242396092,0.00337621213881349,0.017270191475991,0.0299633783826992,0.0430741702208392,0.0296578946023909,0.0701160068953391,0.0650903052225758,0.0173907631908044,0.0699323652952561,0.0290645261405883,0.0354767055314359,0.0409478744386508,0.0424149299534577,0.0522523934529704,0.0252930537649921,0.0097111907847677,0.0560658740520706,0.0404286184700952,0.0216067012573754,0.0454609153998635,0.019653696508883,
28,0.0426179321303243,0.0299634330531317,0.0431091822675876,0.0584574127595908,0.0389561037379668,0.0238151706695219,0.0545106402219805,0.0688334836469654,0.00444488425197203,0.0501772749443446,0.00878202251775587,0.0316101754259611,0.00548398265581645,0.0117199460278817,0.0216772235704092,0.0451576888669748,0.0586791285774033,0.0513641656616467,0.00669480544842186,0.0641141638191762,0.0209390404045739,0.0563874392797442,0.0148974846149707,0.0275316608316193,0.00680061285156923,0.0394635789284793,0.0413898188631357,0.0700347235011196,0.0191160722919838,0.0392267397937211,
29,0.0199192254091065,0.0643794446569971,0.036136645602319,0.0380984385058804,0.0423680132156644,0.0213890191062727,0.0094163604502813,0.0729172027178408,0.0744322690885629,0.0346927541509615,0.036634732824112,0.0252981464199919,0.0314268565425474,0.0526537907450306,0.0768426358912786,0.0279770333198926,0.007356970095005,0.00821123216347941,0.0477639434787391,0.00108491447443608,0.0464021400402765,0.0620674730767405,0.0616644771325915,0.016268978551107,0.0274511184215255,0.0458302764299188,0.0072086587251492,0.0542388716358487,0.0473732034607759,0.00186420386989028,
Emissions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
0,0.248550116501173,0.0655722226790745,0.216495098518319,0.245458590022625,0.170499067825921,0.168813591772682,0.217689799472416,0.174916820093951,0.147974417852526,0.183522272724252,0.105019840297205,0.0503613068315406,0.157786794035743,0.172933986614929,0.110992502086534,0.10832843767984,0.102366639074522,0.198313047769074,0.115852146923218,0.138576236653061,0.241419415710537,0.303166630467701,0.424423106335448,0.0967718984667226,0.104278682850758,0.0294259318736549,0.194819745100201,0.0307545310834529,0.158858931842916,0.000551297517480661,
1,0.0915682265531153,0.372596932060213,0.361687066167055,0.112599114752967,0.249223261967574,0.19476095965,0.154728799320047,0.18764304037475,0.2329470194444,0.19855633758522,0.642455985153869,0.178171188624874,0.382761311325738,0.344985094468756,0.250365243356479,0.145727835940816,0.0815253841290815,0.0553995043990172,0.329310245296206,0.325926191865041,0.301529224646959,0.0207876058285341,0.282561899307248,0.147262073043104,0.071941627695208,0.171880422817003,0.170598678368989,0.081327941672872,0.377847637343012,0.120447732773789,
2,0.210402512907342,0.445960435928813,0.180149660740351,0.340899118011577,0.212240111436387,0.134479775995584,0.313582593500509,0.234872916230877,0.104310426449612,0.154913392188664,0.0772946519524702,0.297609459660749,0.253634922047936,0.263695889602571,0.302417487613788,0.338486802602649,0.208845426975593,0.213872742153898,0.0877656415408403,0.313957112318702,0.00256762850596802,0.053544667951996,0.0930546870116505,0.279734478174565,0.123835019023085,0.208829419030443,0.149532284978946,0.378504965265668,0.0112924778372664,0.288484813702753,
3,0.0905860129884722,0.104176596906649,0.203808678857735,0.085268892331486,0.152898570085583,0.25582084341835,0.272560589761792,0.34025050548071,0.244194592825092,0.455027760934939,0.107156615904647,0.181265515491215,0.116337453931865,0.134288574763436,0.0190094222141583,0.333457100298195,0.301890368364355,0.1799356271954,0.130412016284649,0.175890209104414,0.290707852831394,0.282802943245325,0.179352785449577,0.244930290392883,0.17940094266045,0.201975563163079,0.277485179671487,0.209489651567039,0.218226421224198,0.0693561308565451,
4,0.358893131049897,0.0116938124252501,0.0378594957165562,0.215774284881342,0.215138988684532,0.246124829163401,0.0414382179452421,0.0623167178197233,0.270573543428378,0.00798023656693428,0.0680729066918187,0.292592529391621,0.0894795186587273,0.0840964545503069,0.317215344729055,0.073999823478493,0.305372181456449,0.352479078482624,0.336659949955101,0.0456502500587834,0.16377587830514,0.339698152506436,0.0206075218960794,0.231301259922722,0.520543727770494,0.387888663115807,0.207564111880373,0.299922910410979,0.23377453175261,0.521160025149429,
