State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,
Initial,0.0140443495356149,0.00220698965272711,0.00735067526630884,0.00356622332953338,0.00888620223351345,0.00603886299317058,0.00295930398477895,0.00190458802039371,0.0364315696221612,0.00748680916081954,0.00664769136972741,0.0189219863095461,0.0133625376630364,0.00339168898955813,0.00435409110654198,0.00148067803003305,0.025424364349438,0.00565288602155155,0.0219963405425767,0.00290678665178538,0.00483698867501303,0.000340419556671835,0.0110892102474461,0.00853583020188079,0.017662938658585,0.00338153517110059,0.00164016127862003,0.030050010837192,0.00880354992022652,0.0168248799897571,0.0285681136664014,0.0211024270297645,0.0238315731829321,0.0242216288904292,0.00287127567336797,0.0251031397154101,0.0292923505394835,0.004809332787554,0.00234403336805567,0.0265534874162685,0.00759418273297372,0.0093524195378672,0.00733747055486293,0.0200734613045965,0.00970934019495475,0.000698543312206957,0.00643423107146275,0.0223388494901642,0.0206075511926383,0.0059559344093342,0.0232492607853144,0.0181407394840264,0.0138512299989877,0.00715887123640706,0.000403168798751714,0.00911303846430702,0.0161074519143645,0.0195780575993292,0.00902592731086131,0.00628962249665338,0.00692971789361888,0.00609632331432321,0.0129237202906722,0.00817873528974973,0.0145520603608909,0.00825400075640965,0.00169291469665952,0.0308545141059731,0.030963055938113,0.00795614997174281,0.00175699828049546,0.0185563337051296,0.000579067352091804,0.022995740812371,0.0238567177962441,0.0128028074170634,0.0263548072148109,0.0237930829457392,0.00213585160114661,0.0188705367277146,
Transitions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,
0,0.0203036468222437,0.0160907558146041,0.0213249544422879,0.0236986994569213,0.00339052070122472,0.0152915211276123,0.000671304636668464,0.0192376503098055,0.0053305611774824,0.0130035987619517,0.00977900364518938,0.0223450147096808,0.0098069103403988,0.0113705246142845,0.0180416413848623,0.0129497320356993,0.00251012975919346,0.000435316514677295,0.000477106089995656,0.00464763479684578,0.00290904316681401,0.0044951348012735,0.00779782928692742,0.00252193831186701,0.0105625410016752,0.00545452082761797,0.0217598961771168,0.0115364093111416,0.0160550046969821,0.0208870535818131,0.0281614375472734,0.00787118912724686,0.0128135944232973,0.00422315077221756,0.0183279239280179,0.0220502602824813,0.00776760094440639,0.00651306492473742,0.00503644604475455,0.00968228415278675,0.00401758239932329,0.0153015137741276,0.0221940984508056,0.0116851110198729,0.00845618783394541,0.0176015621363612,0.00387909802697369,0.00205420340566976,0.00481086840311211,0.0168959989057551,0.00206304090706924,0.0136280275714507,0.0168011614797324,0.00665428172896181,0.016054615173585,0.0081443157317962,0.00998978321318497,0.0192884957868766,0.0244711959355651,0.000509997115096584,0.0168619086191529,0.0103331675169932,0.00605123253093053,0.0121941659978226,0.011508327411,0.00922522982783005,0.0204161383140416,0.0243573102232744,0.0102352937833718,0.00119067642228175,0.0100345932721802,0.000222148718871823,0.0176032799118601,0.0136572406276616,0.00162025289428551,0.0150998409636099,0.00923798097401984,0.0215857421036992,0.0152562922352506,0.0149896143377308,
1,0.0112711583183748,0.0209904899915116,0.015108297162031,0.0166273914806765,0.0191234996377697,0.00209687677783084,0.0245787191954231,0.0222827633145346,0.010211586767773,0.0151311167197327,0.0138322094987496,0.00748094367389748,0.0186611271116535,0.0188817039279025,0.019928043199566,0.0130979335503215,0.000542730055428667,0.0202676952976179,0.0116277621308698,0.0260917632049763,0.000144739803033999,0.00259407788105048,0.0108172857101004,0.00525129559708578,0.0288972884050368,0.0109751834633628,0.00111906948621015,0.0171669665377832,0.0102878772839504,0.00599195420979983,0.0124443971041848,0.00817556193598125,0.0292437949162315,0.00667304611474242,0.0121131426657354,0.0157497375460444,0.011101743043402,0.0150185314239322,0.020406739002183,0.00163940548799653,0.0140011765189315,0.0220438671840009,0.00245103625659015,0.00420552907946964,0.0111453645065994,0.0154644892506096,0.0248400767580846,0.0208562530024192,0.0238479960337966,0.0270938529108858,0.0148011667615784,0.0114326863978638,0.00469333699913406,0.0213866616004346,0.00641408449532533,0.0227647362843746,0.0151493714157716,0.00163531377791914,0.0113520516945275,0.0227943761293176,0.0264267607286116,0.0230228694284452,0.00558284249062975,0.028013862867763,0.0300271642627264,0.0209089949465658,0.0189708024491583,0.0157907409761908,0.0258326834041311,0.0164875830659774,0.00870317125290507,0.0176872590948385,0.0127218192828455,0.0186663070189156,0.0220600493639953,0.0166093654078311,0.0216315112771414,0.0221919475729065,0.0234657162454479,0.00325203402625416,
2,0.0170725650866613,0.006638958450372,0.0125703382685999,0.0169381390969528,0.00606922363356081,0.00242413146524104,0.00778528331570641,0.00433410625432061,0.00590361567788328,0.0153440796751628,0.00630214620217564,0.00359696235355637,0.0210296005789721,0.0175264451055247,0.00439538047684252,0.0124198581463159,0.00721111781050338,0.000960339825090882,0.00246555177145847,0.0167011585867013,0.00751297048049712,0.00777150281798372,0.0138307606381468,0.019311432529858,0.00597852326466485,0.00263928328384549,0.00591932692747983,0.0142110612242426,0.0159396277498492,0.0140493576924073,0.00663253000628794,0.00642436736353793,0.00451413016033963,0.0136929129900039,0.0132251207727967,0.0101534199305133,0.0138001307640253,0.00480263247593029,0.0172644354809718,0.00194503418859313,0.0113164472321454,0.00473642662188843,0.0148643209229353,0.0058048310261687,0.00774477779117451,0.0209875794255271,0.00489665100078679,0.0229400891399351,0.0129630908916947,0.0140457538770049,0.0200191860560127,0.0229577895835509,0.0190619908444673,0.0152785580926758,0.00649610098631661,0.013448458441886,0.00677116605141396,0.0172278989654145,0.00860496219918949,0.0131349777633728,0.00358731258323469,0.0135915996702304,0.0119654915024061,0.00236827032557084,0.0184446768974993,0.00541137114931292,0.00398807304452397,0.020779480766166,0.0221485730671924,0.0158012947531294,0.00933791289973727,0.0111136447274813,0.00968998469673098,0.000163016752338376,0.00733683481935683,0.0144775643692442,0.00912881814899331,0.00683013606698044,0.0134377392348807,0.0172489438416571,
3,0.0037633379245661,0.0161610610281972,0.00421282647959436,0.0142795731365958,0.00434757974136795,0.00549087010251986,0.00269407467677582,0.0133432663737438,0.0197097613611956,0.0134510377631072,0.00138941854136269,0.0040047776658292,0.0110986769872305,0.0189193437630272,0.0164563519713351,0.000914589269755661,0.00819485129002106,0.000653288688890179,0.00138941438054835,0.00139966497278612,0.0191507775335502,0.011165450607863,0.00405237036506077,0.00877104246020882,0.0185796777239924,0.0163004730855578,0.0134461109922816,0.00717526211369848,0.0216569496347798,0.0129564925833266,0.0127844808797611,0.0101530143228322,0.0175422227869038,0.00526196254489191,0.00447432788371515,0.00216739406505193,0.00656916561221698,0.00253514897230335,0.0199695148373038,0.0144971009332946,0.00596564008579178,0.0074075587641942,0.00134890487109501,0.00883462532251036,0.0216982524834337,0.0203360130984001,0.0154147217336992,0.0176104945222283,0.018882590475276,0.0141665862408522,0.00295478472479261,0.00962989112189495,0.0209686439900315,0.00697936998479374,0.00369140044619743,0.0156625904301568,0.0118270633669466,0.0182403864822803,0.0095777269361873,0.0172075613164072,0.00400863387738478,0.00624219600400355,0.00092319428140547,0.011124156077981,0.0176972750745785,0.0141776284416925,0.0148286873153555,0.0103145863096579,0.00965199742571217,0.0249186824715571,0.014090818160262,0.0216843743224204,0.0105360515882623,0.0213759527749135,0.0087080849702962,0.00262628965450103,0.00693473098487291,0.0240350132730165,0.0140099877016563,0.00372267645638065,
4,0.0215156140805676,0.0209884199825783,0.0111308470608356,0.0240752848673584,0.0156854016813678,0.00441913555368308,0.0232592650408058,0.00789031376396414,0.00533140016997598,0.014164567788215,0.00827539155220853,0.0157935812384878,0.0134778838916007,0.00780611311392148,0.0174969290763003,0.0216086932353077,0.0168698943978073,0.0100645711509788,0.0183455649321034,0.0060912270433271,0.0134194285453018,0.0219989880861826,0.0215938854332452,0.0114756835577037,0.00176782148483472,0.00726398878508476,0.0218154060808915,0.01385635546622,0.00145789196868294,0.0207980542807999,0.0116657763253105,0.0249516911830431,0.000600235787323874,0.0142791593996448,9.80869028487334E-05,0.0132461805702424,0.0135685815686171,0.00966147204250549,0.00358006931868761,0.00264387785405213,0.00541400427741888,0.00748923739305476,0.018967698652305,0.00711822259442256,0.0197916407824822,0.00956523739583668,0.0020026112545753,0.0170646442959966,0.0223731503936772,0.0107530302991018,0.0177907489952444,0.0226560714402099,0.0130358365292423,0.0223746236364381,0.0215113215010121,0.0219319465041814,0.0124132089383441,0.0200324974840883,0.0182552664302622,0.0018308566158347,0.0243642469883293,0.0137892670377406,0.00100691615843898,0.0102105810623582,0.017119024485179,0.00582486555972142,0.00517987571601421,0.020573973002274,0.0134439087670671,0.0213710072174658,0.0234548621561913,0.000516859752184041,0.0169810258455346,0.0186732427475764,0.00226632125574616,0.00876699154682004,0.019482596388683,0.00315988436498086,0.0154185834902745,0.0148206751113031,
5,0.0222350289386951,0.0228808252056207,0.0265254747129185,0.0272579688655918,0.0179202727294557,0.0248316897813999,0.0100845031848158,0.0224560537094308,0.0187191620058494,0.0139132029824836,0.0232327164762574,0.0141233223300226,0.0206895254459744,0.000182125177180376,0.000746258578856163,0.0188711978877673,0.0233413788980373,0.0235425629498328,0.0252287179976266,0.0152044272299674,0.0105971979188058,0.00521536771587189,0.0104268904139099,0.00457524574635196,0.0106071401052241,0.0112580586949012,0.027377031016684,0.0129899666963204,0.0271045727226754,0.0226871198113995,0.00296625831918308,0.00747418890197089,0.0287455092900882,0.0283892560129574,0.0179188116516663,0.015703820986106,0.0147951225094399,0.00292574121953762,0.0154030645047339,0.013488516470282,0.0112496975845026,0.0128605178903301,0.0218787040488322,0.00171138603564074,0.0213535819750451,0.00929576529700004,0.0229926587209084,0.00185725982788644,0.00683305442149971,0.0112037805142239,0.0232501530874906,0.00845382307639767,0.0132798933287026,0.0262871930704082,0.00568593211138044,0.00804084936500079,0.01156271057129,0.00863248051596566,0.0120154020267957,0.00531911897096916,0.0166699783971742,0.0247509776583595,0.0179550900119298,0.0232972633330555,0.0044674514790302,0.0208359256820271,0.0205950370666527,0.0236379245720468,0.00491261301841181,0.015186293605746,0.013479949963554,0.0162831992260275,0.00751523434738567,0.0142900332384786,0.00250167075166902,0.0158600784421268,0.0211477505759745,0.0152806682588626,0.000873180771108405,0.0106123748178828,
6,0.00221341849110297,0.0215235692307284,0.0221935968056981,0.00188735626700149,0.000692787203371661,0.0191918620284059,0.00130467865922963,0.00145309119804899,0.0118884169455949,0.00169051428568382,0.0160307881662387,0.0159984672008182,0.0133622506149158,0.0215973817065024,0.00775724318566432,0.0203517702237873,0.0177930944110388,0.00045189200226725,0.00599118717688801,0.0127216520721051,0.0117603273085388,0.00889379623454526,0.0153221509041161,0.000604063153583991,0.00350677507674966,0.00402937094868472,0.00747547219538512,0.0206124746597963,0.0123227237164675,0.0136841008461655,0.00555758472195027,0.0235204946315758,0.00175606352941887,0.00137794526426128,0.00509315007511364,0.00374509370740062,0.0235940337010701,0.00567816781226208,0.0133051595563882,0.00340472428380975,0.0216070757976485,0.0113718045111929,0.0191609516074101,0.0194812467004453,0.0203710278072724,0.00507445450964689,0.00212764298767567,0.0247047730722697,0.00952869171024419,0.007618620573539,0.0190805834688439,0.0223249052062602,0.0166181360447869,0.0130702236020193,0.0164602690196897,0.0112261294536146,0.0251050420235231,0.00512210596025421,0.0182628546333734,0.00613712529416664,0.00936125780919199,0.0217666077260907,0.0231151647305057,0.012478841253797,0.0211827950283048,0.0132714269763474,0.00746340470409905,0.0190671624355359,0.0235122539562551,0.00815456875539447,0.0123462559307459,0.0155167955992656,0.0118749669749373,0.00770827311165998,0.0174065513366567,0.0211176633232829,0.00460443387216087,0.0186195852526786,0.0197401495905277,0.0177314756721729,
7,0.00595766133953391,0.0136818159625343,0.00154155411819609,0.00993023533239073,0.0178367975037863,0.0118213973483295,0.0231135789710962,0.0186571903245697,0.0192010716959451,0.00129167493335664,0.0135854288298041,0.00512812051048504,0.0121571328741482,0.000669571666729246,0.0210562870105371,0.014624876954042,0.0108067723918231,0.0203444455927159,0.0157083266220268,0.0107200052092705,0.00590770245163693,0.00747742390143114,0.00423365413415939,0.0121426007058516,0.00907912488937594,0.0186546578669289,0.0261024945487458,0.0148315957110932,0.0200111187316567,0.0122557849266443,0.000271605925484431,0.00805470368426222,0.0152654854720117,0.0107335592561455,0.00948443672049009,0.0125225316455599,0.00458338492982908,0.0220713443143179,0.0087416951234749,0.0028703041978574,0.00941501351916926,0.0247949528410403,0.000211423931553834,0.00859427157453907,0.0118382991027948,0.0011353244243555,0.0135294434942057,0.00420268280123288,0.0201475872933221,0.0098763878131299,0.0086284410551489,0.0130137152934321,0.0149367426217242,0.0156373047801948,0.0278699926554407,0.0204030892523807,0.0149203399926658,0.0109823281014661,0.000510390767449828,0.0230321825219585,0.00824293406284558,0.00961795255377268,0.00783223584580809,0.00734690238633259,0.0139913662176608,0.00927666200161255,0.0148336015920838,0.00648583601255824,0.019259383971315,0.00496853817751855,0.00912166772939171,0.00588021239553536,0.00482046161916158,0.00888489034592465,0.020579256903367,0.0113326667560048,0.00787985506843368,0.00972051106098849,0.0159417765626535,0.01384765245507,
