State,0,1,2,3,4,5,6,7,8,9,
Initial,9.37238942670352E-59,6.45514320832202E-15,8.38914029931617E-20,0.47624282879564,6.19775180653284E-139,3.47099555754632E-63,2.9505468690164E-33,9.75002854285759E-155,0.523757171204352,2.51475058029294E-54,
Transitions,0,1,2,3,4,5,6,7,8,9,
0,0.00691602961777942,3.37535862464297E-24,4.04297824397659E-13,3.86152369422851E-10,3.49368009579656E-10,4.58594836190719E-17,0.875015105768323,1.50034897291598E-17,5.96710012569192E-30,5.58986994274089E-06,
1,2.7206206021386E-20,1.25869202449662E-05,0.0546690873368689,0.528258218336748,0.520611366049836,0.136567060029808,0.001852978316184,0.30238665798693,0.217324990316455,0.0516532673999946,
2,6.03794307667884E-18,0.0234359654130164,7.45391256951528E-10,2.70178879911526E-23,5.10772994065647E-07,3.37985658690422E-14,0.0657313939250777,0.140829893315022,0.38043300767172,0.00784643624777806,
3,0.826799781019519,0.400619910165928,1.16306412393689E-09,2.68753764897072E-08,2.68132170740653E-19,0.226071273891538,0.000138807183834165,5.98366052855725E-15,2.05917342588635E-08,0.0198407767952724,
4,1.03096321015702E-21,8.94537958836645E-20,0.00163544779608255,0.000952469885280193,9.92834082094945E-05,3.14824170816376E-13,0.00166925347991983,0.487882275082593,0.287973526865458,0.000818300620403541,
5,5.46887161276087E-18,1.32178169554114E-26,5.10846968322798E-15,0.226195655811354,0.249628613093221,4.87351426334698E-10,6.8807610399944E-09,0.000167037735348913,2.03687777761572E-11,0.0338794777551443,
6,4.32876200270199E-11,1.01554467212272E-19,0.315964732808341,4.73909384100341E-18,2.80120445964631E-20,2.66588491685862E-18,1.21871170940464E-12,1.06803278933624E-08,3.46788643001028E-12,0.139819830934039,
7,2.94861193951264E-18,0.00362908785170785,0.559538619120378,0.0767943803355123,8.41697537718705E-07,0.236580899311528,0.0311659959820267,0.0687329422881052,0.029646329027277,0.00268299995667783,
8,1.53879671348141E-14,0.572302449649087,0.00967978066964672,0.0542952417858626,2.78679272961861E-09,0.400719911010306,0.02186109328811,1.18289670433894E-06,0.0846221255035223,0.00578801865071109,
9,0.166284189319402,2.72049926824975E-14,0.0585123303598149,0.113504006583711,0.229659381842013,6.08552690924273E-05,0.00256536517453069,1.49520730023801E-11,2.63588020264289E-15,0.737665301770021,
Emissions,0,1,2,3,4,5,6,7,8,9,
0,2.58840755752158E-12,9.54067251994407E-09,4.48179961355455E-07,1.21916708872464E-13,0.107165242409538,8.60691732079489E-05,0.212344673391003,0.967887725447258,0.000325915902872252,0.189069142263738,
1,0.0246348514567689,0.0512676855636761,3.20200878717588E-05,0.905006696560086,3.4809283215682E-18,0.0597867083706838,6.18023213792385E-09,5.41295251369105E-11,2.8937447856291E-12,0.0526636231574643,
2,0.00496449026424471,0.000127685476953216,7.99883012956807E-13,4.80150404036724E-34,0.873378537558287,0.939392458572167,1.22634842014804E-09,0.00143106838428786,4.1362878887348E-15,0.0489884940337396,
3,0.0275688402323523,3.75563976960984E-12,0.717651135995184,1.61190831203105E-22,0.0194238888117174,1.33211264336109E-07,0.00358742065281208,0.022470187426049,1.41223528233346E-18,0.232134730405396,
4,2.53369934181279E-05,0.948604619414965,0.282316395736211,0.0949933034398071,3.23312204634396E-05,0.000734630672667691,0.784067898549632,3.31323606799059E-07,0.999674084094249,5.31569893766627E-08,
5,0.942806481050642,6.57496220888465E-21,5.49455200935818E-49,7.66533103414057E-27,1.48253483657946E-27,9.26513399894883E-15,3.4083501908323E-15,0.00821068736469433,1.78834227397988E-24,0.477143956982683,
