State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
Initial,0.26526081997946,3.3163388750118E-19,6.34064493279189E-189,6.73585947035859E-109,0.302659062828719,8.89636074222663E-271,1.02115483469607E-99,2.5963634295855E-202,1.96308447841582E-26,2.87715689506525E-212,0.429721673068178,4.51945123734976E-59,4.30852190653556E-221,0.00235844412360418,5.54008436041617E-39,4.76085496293702E-20,4.17644786501328E-194,5.73118539709144E-18,3.94531330882505E-14,6.88347797756934E-91,
Transitions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
0,5.21701909866381E-16,2.23540332396839E-13,1.66021380836813E-18,9.8722379977142E-05,1.13405312531994E-13,7.49863756277313E-32,0.00410941360864876,3.13315612222295E-14,8.04528586754417E-13,3.83288928008698E-17,3.58830858478364E-30,6.96258948311131E-32,2.31416696133563E-07,9.80790527510377E-10,0.250131303021707,0.000354482669351357,1.0936001599075E-16,2.21128950494593E-07,4.78094695492799E-11,7.2845041929024E-07,
1,0.111721066809722,3.31126926814454E-21,6.41959994706484E-34,0.0498934387806295,0.152724152009883,6.23068288319805E-29,5.26706924622619E-08,0.182228388106731,3.79883986256314E-24,0.132240509064673,9.78474336262408E-30,8.87866861878935E-15,2.48358677302916E-16,0.155514712241593,1.49221322642719E-13,0.0162207929970661,1.03258014384242E-23,3.5917814610949E-05,8.26925009932152E-28,0.0077897882203088,
2,1.79736833077152E-09,1.71776877254315E-26,2.51426527690323E-24,2.22851106511379E-17,2.27166211451306E-09,0.284410403851414,0.0417598444666252,8.76874192426861E-25,5.06483635773194E-28,0.000433307290032767,0.287365424623487,1.58692484142542E-06,7.9100725141009E-09,0.00390949603915141,1.08208839984243E-34,1.86464485653288E-14,7.44368953030884E-53,0.0175544061373256,6.05806425846626E-14,0.0269759560958124,
3,0.000184011351062966,1.90467608597391E-28,6.64180735884646E-33,5.69292286011467E-05,0.0111340886262493,9.43713797558121E-16,2.45868550465978E-08,0.0846194872551463,8.00897115101825E-33,0.0106863712581444,3.87920926530827E-56,2.41454063388053E-21,0.00238408957732128,0.129983817074635,9.00138507480264E-29,3.75041988003946E-27,3.38964224403921E-62,1.63440555964837E-12,3.5929678640286E-96,3.02051497659421E-06,
4,4.79274649236131E-24,2.80966793054934E-11,1.98942495517092E-17,0.0760398326975381,2.59350091811747E-20,2.44361542620139E-29,0.00648153783157796,2.64442135853095E-22,1.04901531576876E-10,1.68620537387712E-28,3.14204607817881E-31,2.16626340914969E-29,7.6796541127242E-11,3.17928825889237E-13,0.315463855849733,0.0262177592065115,2.6057030651879E-13,1.33319417240716E-06,2.1494231972218E-10,6.51722663078134E-09,
5,0.327474072967263,1.91978065379034E-25,1.18327096103612E-49,8.23781017068301E-09,0.512616240309157,2.91385238398127E-16,2.45230352606774E-13,7.36200992683076E-09,1.28591555646152E-28,0.428719267477326,1.83275699909276E-25,6.65351174932892E-08,1.4265176699318E-10,3.37939884607778E-05,1.92165515250852E-47,3.22717822072674E-23,7.06688294886057E-57,5.33044317772824E-09,1.22355720561554E-33,0.00129612448124062,
6,6.40705210624905E-07,4.88628614565136E-28,2.84750031253024E-27,0.0981114679493896,2.15835795679863E-05,1.9387632391011E-09,0.261123516838933,0.361371207248327,5.00821511603223E-31,6.95161851290562E-06,4.93458089937426E-39,1.14736598161838E-17,0.319854067977292,0.356997109529264,1.50267839145537E-29,2.05085101532002E-21,1.01710331099708E-58,1.8012953957951E-09,2.01071878187514E-48,1.7257801381821E-05,
7,0.405751349932081,3.28407395132289E-08,5.28810638426976E-08,2.68540331963755E-14,0.00434832365117647,4.82971323846351E-13,3.39669854623036E-06,1.04172964357648E-20,7.79037605139226E-08,0.19314834987641,2.60280367766683E-15,3.57200900293773E-19,2.25687377984157E-05,2.25706229295303E-07,6.85166731122464E-33,6.00853289348288E-36,1.80685461803454E-10,5.19471254747736E-09,8.33435195320283E-09,3.11799377535509E-12,
8,0.152524729884794,6.13991065079251E-07,2.38613338030142E-10,0.0619679185120184,0.319111371577123,1.41860746818701E-17,8.05325107519144E-08,0.276575304682922,8.11499182246656E-08,0.233083468195697,2.31009985755724E-15,7.6054967297063E-18,0.000388538329917699,0.260170900101587,1.56646747110031E-18,1.25381386224502E-07,6.68699594352638E-32,7.60972289368562E-05,4.94830424385246E-06,0.03034086400964,
9,0.00234412651926869,0.412218331215344,0.218148651068968,8.68122341988162E-20,4.42379561945105E-05,8.84028950998402E-13,3.36329881367842E-06,1.08092379479527E-39,0.115809084118225,0.00165342615436998,0.000583428732047839,8.10071193689375E-18,0.00887429820329602,8.42625956187574E-11,3.22581344227432E-35,1.26134891579942E-44,0.531709057599002,1.49910924343172E-09,0.235034489948374,2.39953849424315E-21,
10,1.76779715637609E-35,1.25665957816626E-08,2.55678289670452E-13,0.0845923133349245,9.9569934286839E-21,6.46928762581491E-27,0.034956372701675,0.00274327955877285,3.42545403223679E-11,1.19078837122563E-45,9.85121352714662E-31,1.85946407766693E-37,0.311352960462363,0.00296795898128837,0.431476829353577,3.46157118590253E-15,1.13685879671113E-11,1.254303052881E-11,0.103368620097374,5.07094590802516E-11,
11,2.91723123098521E-75,3.09553689410199E-45,3.06958922318205E-53,1.40061449999044E-30,1.88153644166806E-71,1.27778150623583E-60,1.35161486429966E-20,1.75435016915101E-66,2.2862568372378E-49,3.26665465930852E-66,2.62038318782471E-51,9.73039601593814E-42,0.0294803633557921,2.73586508187372E-61,6.17175526062799E-49,9.91179496062419E-22,0.411001087914027,3.4261385387072E-28,0.0462433191047392,8.17807001365778E-14,
12,6.49585219146149E-86,3.17334137271532E-66,1.30115445819009E-20,2.49409167760561E-28,8.80035751024746E-94,0.127733845958974,0.298425146485605,1.97662190966831E-40,4.73379939289003E-63,2.12827605521039E-38,0.130418306517036,0.99999834654002,6.116582855374E-05,1.26560687498455E-58,2.80180190240313E-52,1.76309457707645E-31,0.0572898542946609,4.45317874207854E-21,0.00377071713876376,0.440641330609421,
13,1.47231408545338E-21,6.15710267184218E-13,2.20528965253239E-15,2.67285888340008E-06,4.6667217615826E-19,4.07032063124332E-31,0.0572929631105687,2.76094245830142E-20,8.6273203322763E-13,1.03213025293783E-23,2.16852618762723E-30,4.88703987406907E-27,0.00538053627929109,2.15796568113393E-15,0.00292801170050301,0.43804841232597,1.49428665647967E-19,2.62274350453412E-06,3.01029399297794E-11,0.0129472442016188,
14,2.38780617819521E-17,1.37177519601455E-14,1.05409586197733E-12,5.86227108668699E-10,3.42775643982908E-17,0.557728962871895,0.141807554921649,5.81616379256939E-16,1.28499078552309E-14,2.83490220937687E-05,0.552469463746965,1.03634900111786E-14,7.00424086996913E-20,2.76698829780504E-13,7.28044672842537E-19,0.00215340623464211,9.20357511724033E-49,0.931546102503359,3.55655644743948E-08,0.0556152587302246,
15,1.33484837734018E-23,0.0288194670966773,0.536903285818316,0.31752757860872,1.68002166565839E-23,1.08950313281352E-07,0.00764039209117944,1.98727864112342E-19,0.824364145554083,4.60434146879404E-18,3.06095880937403E-09,5.01038108060448E-22,1.3066701543612E-09,1.44632739349608E-18,2.98530553371186E-12,4.8431974341007E-07,3.1987343623901E-33,0.002605923411369,0.41893108840983,1.68401901972252E-07,
16,1.01546099605645E-13,4.15788664836094E-33,2.83630801829858E-40,0.00236556117425686,1.2607284920642E-11,6.55000728097594E-17,2.43792414321849E-08,3.23224462026925E-13,1.84136256346952E-33,1.6729569349182E-14,1.30399043550598E-55,3.37078724252986E-18,2.12876986425871E-05,5.30476026454076E-12,7.60577133855357E-29,0.517003543403149,5.07229017085152E-73,0.0481238050041149,1.90175552487763E-141,4.32699604725343E-11,
17,3.30924519030702E-11,2.96176428554238E-05,7.11616907643204E-06,0.0277613952147986,6.2617075458863E-12,1.86747852399008E-17,4.34056957927465E-07,3.56344498887941E-11,0.00021842629490799,1.29962382760124E-11,2.42482626741869E-18,1.15605502322485E-22,0.0190979113644529,7.58862909997325E-10,6.88837433527738E-11,9.93462170376985E-07,3.48286554081875E-26,5.35495298315263E-05,0.00686183361483063,2.22843641748847E-08,
18,1.92670727125295E-33,0.558931924617793,0.244940893822686,0.281582160436212,1.37500827722126E-18,1.21190259462918E-17,1.49312816589972E-07,0.0924623257501051,0.0596081848382911,2.12552847474487E-36,2.31306694343994E-19,1.80471392386595E-23,4.76211708213753E-08,0.0904219845079722,2.46955571803368E-12,4.66365342543825E-27,2.98936210768838E-37,7.46410192988975E-09,0.185376910297997,0.108125029093533,
19,4.69520939560938E-14,4.45531238201182E-26,3.01432146297399E-21,4.66520079884829E-18,1.82875774965387E-14,0.0301266764272894,0.146395732406832,4.88603675017546E-19,7.02018970675265E-28,2.97148425184803E-11,0.0291633733194906,3.43980516367624E-16,0.303081923711234,2.78437180562368E-15,8.10987788788956E-41,1.6542741951173E-29,9.723234161514E-21,5.95502549395284E-15,0.000408028891035266,0.316247200490736,
Emissions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
0,1.70838634451897E-49,5.26316733933506E-10,0.00448702262156465,7.9941369019373E-09,2.93354923624184E-45,1.31047227210955E-08,7.90914405437453E-11,0.700237170273157,1.53708797484089E-10,0.996679091496192,7.96781027053909E-33,1.22570275535791E-32,1.58222651450727E-15,4.79742970041822E-39,1.39937090375821E-22,2.53927611383074E-18,2.1973903594573E-53,3.99831444523793E-10,1.71052381514426E-17,0.65134699991447,
1,3.07669132521803E-14,3.74391642816237E-24,8.62667331863274E-20,3.40677730989108E-08,5.3944025693451E-23,3.0024911110433E-21,0.0284135794503646,1.20970721050953E-39,6.38990949294505E-31,3.41452477179111E-19,0.985841952815099,3.05418785249696E-13,2.1317503739748E-14,8.36526240802771E-27,2.28732881356145E-33,2.12174848100954E-22,1.56822418618523E-21,4.60653338853923E-10,0.999999999618929,0.0126884346525891,
2,4.78092373896455E-64,8.93972092977271E-14,0.995512977377372,2.69133066773991E-05,8.16594421376126E-52,0.999999877809579,0.301662819745585,7.57703812374921E-20,7.31148581017206E-12,5.52463575592376E-35,5.00701159745187E-34,5.56429393633827E-37,0.00332180429137471,2.44428448031401E-38,1.84781612279846E-11,6.5665558508733E-41,1.22255288550285E-26,2.39440651311765E-17,1.54436777736425E-19,0.00122313987750545,
3,4.56165707609031E-47,4.57067481656476E-06,3.95405662269728E-24,0.999971566699769,5.1732330940647E-47,1.09085719426025E-07,0.667244591817488,0.299762829726848,5.97305310915844E-06,2.89643475389099E-31,5.19699059855867E-22,2.53374105407603E-33,1.02488940606996E-19,3.67237625409878E-36,1.54790612073573E-28,4.0597469325303E-34,0.999999999997063,1.48900188611289E-11,3.28297833478894E-27,0.0455679890793785,
4,0.999999999999978,0.999995428798788,1.08768296538941E-12,1.47793169433846E-06,1,5.44952057720861E-21,0.00267862062249827,5.99911350178384E-15,0.999994026785883,2.47838296487789E-12,0.0141580471849239,0.994068691976899,1.1868824111637E-09,1,0.999999999981531,0.999999999990749,2.94103642889797E-12,0.999999999124587,3.81094978569278E-10,2.07208149156904E-05,
5,9.0650980674034E-77,2.28346532542387E-49,2.91125815612099E-14,7.94671597615671E-37,1.45352911472137E-57,7.50283867981271E-69,3.88284985024104E-07,1.42128380755053E-55,3.36408638931204E-48,0.00332090850133205,1.50507755339294E-19,0.00593130802280165,0.996678194521794,5.36853242592853E-37,8.63157815876679E-34,9.25726704788575E-12,6.48901581921662E-62,6.00383283533691E-14,1.24650630808701E-22,0.289152715661162,
