State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,
Initial,1.32670582800789E-36,0.100015220622083,0.12013733704723,0,0.0242646564534337,9.88131291682493E-324,0.00171763098882938,0,0.277035822993815,7.53588391138247E-57,2.26764371930092E-31,1.09259968437727E-160,1.23677251754078E-41,0.00620455465713782,8.3106020478123E-305,0,4.97178908203529E-30,0,3.00015172474832E-23,0,5.42624081181281E-16,8.37952956684508E-114,5.61702914561295E-99,8.35672857671128E-40,1.33482088073094E-23,9.18729215303013E-75,1.70773385743814E-34,1.45356668595896E-27,9.5119992745817E-54,2.71163972398654E-294,0,5.09467474922902E-45,7.70048106554873E-25,3.11206660216603E-44,9.07426753341797E-17,5.43777657128054E-41,1.96452948125296E-15,0,0,0.470624777237471,
Transitions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,
0,0.190956167727524,5.68330560258623E-52,7.53824783108179E-44,8.75356732128666E-48,3.0970814047703E-24,1.16842603423229E-34,4.39051808425047E-10,2.81202778641835E-75,2.26861948805488E-69,0.222206156593412,7.3370178124375E-27,9.21449713755699E-14,1.43872937617634E-28,1.98599338308096E-39,1.03814337303063E-30,0.298912560472184,2.56682917114026E-63,0.125308589984637,6.83324187063985E-44,0.246983347981552,4.3096682407316E-29,3.96124694056257E-18,1.27074353145156E-20,0.312596902305782,0.426498157396894,1.33806053942156E-48,0.00203483221676914,4.40755154784008E-31,2.74400600819139E-17,1.45366365870946E-23,0.0815857861316706,1.37388345316416E-28,0.363309956338375,1.69196235590374E-26,2.77099609420952E-41,0.0395088245921361,1.05698871440368E-47,1.44576876194026E-57,5.20909215577608E-14,2.59541199483506E-55,
1,1.3835129618211E-15,3.51650988389264E-17,2.03906222052885E-31,5.51155435452112E-31,6.96527963390492E-26,5.59039782179023E-29,4.01627418269337E-14,1.01482586689337E-58,1.68935150416594E-31,0.000428829567999446,0.150705642286302,2.00052207304777E-05,0.144826547397224,1.40930812791417E-30,2.11642064133241E-19,1.05730711689001E-17,1.26973366795946E-84,5.01197227831083E-18,4.65852386940484E-05,9.92681995135095E-17,4.26091996663644E-17,6.14417430655669E-05,8.82325324770372E-25,1.64706661542919E-07,2.0641537415155E-14,7.61170942570459E-67,3.84477211464712E-15,0.0120843410677175,2.59607981858105E-08,2.03207312660255E-12,1.28972184622227E-17,0.0329829912042464,2.76888003428568E-19,0.0309883728216453,0.000369123859354202,1.30963257132875E-13,5.25324518406439E-05,3.64497100207859E-20,1.23702491542304E-30,2.38515228568939E-19,
2,0.020654419190775,2.16912669363238E-51,2.23142994917864E-31,2.68242743602821E-66,4.69408586562566E-30,0.103075410883049,1.65497716540501E-11,4.77417757151309E-36,1.00030513663209E-51,0.0553674382931629,0.0669063342051517,0.0110083407117755,0.0339243927988752,7.94958763570413E-48,4.49498357384582E-25,1.41037245883482E-36,0.00161148580528683,5.73777440162535E-05,7.20750077663101E-41,1.21716947506046E-36,3.33127064144387E-55,0.00087914924885738,4.54016000317332E-21,2.28083758797572E-11,0.00849749076164689,1.50405508239092E-67,9.19556923416709E-32,1.0148191044803E-26,0.00150579118513292,6.34192320292176E-12,9.34461730342087E-36,0.237386035570593,9.77301586879093E-32,0.103529544663023,8.28222155119775E-34,8.90845887702031E-24,2.02786879308977E-41,5.01542537886361E-80,4.79741529050625E-77,1.29737957022957E-59,
3,4.53896824358227E-48,0.0543944502893425,4.87553019038943E-24,8.48208296356155E-23,7.74506603719893E-25,8.868289452068E-54,1.84528194533543E-07,1.65156936945403E-104,2.09509668014646E-22,3.77217468132631E-29,2.44394269409515E-63,4.1738687903496E-07,2.86095995433518E-62,4.20167170446304E-22,1.61700736555977E-17,1.02687697890726E-81,1.90515283248758E-90,8.65994825628559E-12,1.72346795685125E-38,2.92068292744582E-70,4.17268535591221E-31,0.0105034107917188,2.32289250867316E-08,2.8905607379349E-48,2.33307854856726E-17,1.39678729901531E-42,2.19509741595832E-41,1.08399320471623E-34,4.12867553483629E-64,9.05624491243038E-10,7.90134740036538E-98,2.08629767767268E-49,1.42682067136195E-42,3.96954226714055E-73,2.95621643702678E-20,9.81561444414341E-53,6.37397547199058E-29,0.407298256905708,9.15153891923423E-16,0.480647223690739,
4,0.0459560969325816,1.83205332196954E-65,3.62942411843676E-34,6.60163002405166E-51,6.09592701768617E-27,0.0086619378426571,4.0473233472782E-27,2.13177930673009E-49,6.78203039007124E-53,0.160638122563275,0.00134407591676265,5.03138149053884E-06,0.161193999864793,5.74632696823559E-47,8.48061359987957E-28,3.97840766802264E-08,8.49432418762698E-08,9.74561089996357E-35,1.48142142412275E-33,6.75568372676214E-09,1.1572295512351E-44,2.96021198873551E-07,2.18743678877574E-51,2.77453601041293E-07,4.28031590710719E-15,1.80683459640611E-62,1.70395491322985E-09,1.67837646976863E-22,0.130046599958783,2.0939442547915E-23,1.02465744893396E-07,0.0621321761480843,3.50733930356612E-10,0.0475659803382116,8.72605045402721E-30,5.49496835277852E-07,6.2633559412255E-36,1.65526482153779E-109,6.18441019382816E-90,2.73769921420699E-70,
5,5.08412393286048E-17,2.02576819382408E-157,9.46821642090353E-22,4.22131663960065E-36,6.87326338293527E-27,0.000169588089457594,3.79682029780918E-125,9.7947445430929E-42,1.11287288099642E-24,2.72798309368996E-80,6.57452543568511E-112,1.55820979083612E-25,1.43302630976168E-129,1.2915832670653E-25,4.6202142831494E-34,3.41341188921872E-100,1.77532064772054E-42,1.50786653984533E-58,3.15526798855603E-106,6.81371536532343E-96,2.08997818822131E-18,0.0168707631299104,0.506367084957295,4.44828709465351E-72,7.28135028029203E-76,1,1.1026921347725E-94,8.28327411904874E-97,1.48229616401788E-19,3.0490519658577E-19,1.56649551989809E-101,3.93078369847243E-115,3.23847975721879E-101,3.80889200373859E-123,6.7765299987639E-107,2.53689985616017E-71,1.1922288272901E-107,8.70265339581873E-76,1.02581497468968E-29,3.89905820966569E-134,
6,3.36773548731708E-16,7.62127631454107E-27,2.54823677101861E-31,2.47011415868539E-29,3.52178088239095E-25,5.19809255660812E-39,1.50074589133969E-21,8.01524174847792E-60,2.62812518803712E-31,1.29957447582764E-08,0.00594929892882517,0.0264112734511608,0.000592397851672518,2.25789517110645E-30,2.07818813168733E-11,1.5058807512628E-17,6.64060275309313E-82,1.00321051740696E-29,0.58535249391669,3.99243491355824E-17,7.36333386484992E-13,0.0627523691985221,4.49197222841227E-37,1.6177787318588E-08,7.43292585596517E-18,1.61119737129644E-67,1.12794330398808E-13,0.893820029670491,0.159840464599892,1.10182615383329E-07,1.30209147466877E-16,4.84897091558917E-05,1.50296459348674E-16,0.00216701305768403,0.296779754140722,4.57109065535818E-13,0.0590522883639405,2.19705346587601E-30,1.91831540048161E-31,1.21771855992765E-28,
7,2.01949674153132E-310,2.77523092017718E-16,1.46363674693746E-245,2.01990082548621E-56,1.03835121673296E-242,2.40753938792391E-46,1.14657051584359E-12,5.27783525407841E-101,2.06375451802151E-228,1.19429745627474E-23,7.97966888262564E-36,1.07441860888667E-17,2.31090817035211E-45,1.15383887627957E-76,3.31901551119527E-25,1.53634339141338E-75,0,1.79425530271686E-15,0.272469750969569,1.73868511249795E-67,3.47295410978239E-64,3.36828946929945E-34,1.44253048026748E-24,1.25149990005816E-40,7.51049889247852E-13,8.26600247292566E-37,1.91174224692626E-49,0.0711961464314961,2.7796862923795E-24,8.18256070668776E-05,1.36579509978655E-97,1.51487498045343E-45,1.54839208570461E-57,4.12083870609874E-47,0.459946081259498,1.52342901520218E-55,0.823420522838663,2.7951893956044E-15,5.71483217705268E-63,8.66444339897046E-18,
