States	Score
2	-61524.7220251636
3	-60315.1123922383
4	-59596.435528152
5	-59269.8588217657
6	-59184.8637752138
7	-58820.5586785803
8	-58532.5950622408
9	-58209.8572818036
10	-57798.2829298582
11	-57326.8011460578
12	-57082.0763884813
13	-56551.8038784251
14	-56220.6602976336
15	-55995.1999689691
16	-55619.1469477202
17	-55452.9580598507
18	-55119.0708644124
19	-54853.3771109612
20	-54593.8915762843
21	-54473.429270566
22	-54361.2441506919
23	-54206.7358515397
24	-53872.6513808584
25	-53523.4792024654
26	-53080.9242130322
27	-52823.9517997586
28	-52578.910991536
29	-52458.2161713231
30	-52368.7912067659
31	-52247.2275238421
32	-52127.03388082
33	-51953.6771904149
34	-51791.1208187711
35	-51695.6746423544
36	-51507.1629492624
37	-51432.1206465742
38	-51363.1513892286
39	-51283.7809478663
40	-51240.7114181682
41	-51233.8286119741
42	-51220.5006160054
43	-51188.9764172384
44	-51167.7093397701
45	-51148.9407764739
46	-51119.7591600068
47	-51031.3503462138
48	-51002.582008341
49	-50967.1141068635
50	-50909.07130891
51	-50802.2419069042
52	-50752.3936228603
53	-50738.1439553566
54	-50707.9617516811
55	-50684.1892239789
56	-50669.2081130941
57	-50627.1515648507
58	-50584.6487935852
59	-50553.9861537999
60	-50553.8606401768
61	-50541.1803555502
62	-50426.25183048
63	-50355.7284228748
64	-50352.8832239439
65	-50347.0541226939
66	-50316.7017431918
67	-50289.6123890041
68	-50228.6951879827
69	-50172.4706508233
70	-50086.9339531825
71	-50054.0706635562
72	-50009.4375052285
73	-49963.8619599255
74	-49925.0604958608
75	-49590.4046947868
76	-49443.7295903867
77	-49389.2976855312
78	-49339.947069281
79	-49274.0880453216
80	-49252.2378748003
81	-49184.2448665106
82	-49093.0987446394
83	-48578.4784116839
84	-48562.2606786221
85	-48519.9835869042
86	-48504.7733330106
87	-48491.5337545042
88	-48480.7204176858
89	-48416.4474901494
90	-48404.1086877716
91	-48392.8044514339
92	-48383.7869381699
93	-48292.3777397279
94	-48103.1336027113
95	-48093.6335070165
96	-48068.5488760976
97	-48030.7430439413
98	-47911.1292312209
99	-47897.2111245206
100	-47877.7841981274
101	-47816.7077960695
102	-47785.6502360426
103	-47777.1470810307
104	-47762.105823925
105	-47724.5777035279
106	-47551.1406527487
107	-47471.3360696592
108	-47403.3976857195
109	-47358.2657253717
110	-47129.2472605798
111	-47090.1072693709
112	-46981.2634652532
113	-46920.435461495
114	-46910.1701401707
115	-46880.8522853566
116	-46851.6604028749
117	-46806.3029848552
118	-46612.4261104231
119	-46551.7948573444
120	-46508.8550290089
121	-46502.2136562471
122	-46454.463008076
123	-46440.3203920298
124	-46371.4998291838
125	-46367.1926253809
126	-46313.0584593142
127	-46183.6238271744
128	-46149.9131628832
129	-46129.6863217191
130	-46114.2554611078
131	-46080.0473111628
132	-46021.723567786
133	-45906.0793190927
134	-45855.4128556707
135	-45708.8305143976
136	-45492.2531360009
137	-45446.2094956897
138	-45386.6055240685
139	-45347.3765180003
140	-45308.3635786945
141	-45290.1808854107
142	-45153.7468029784
143	-45133.0871730011
144	-45095.35546895
145	-45087.9456592634
146	-44908.6618609875
147	-44748.3669709761
148	-44665.0939169721
149	-44624.5678218401
150	-44590.6686686063
151	-44543.8841834172
152	-44479.1817427943
153	-44412.863217953
154	-44397.0559570089
155	-44361.8938806101
156	-44129.9223363264
157	-44079.2110033304
158	-43987.8738608366
159	-43906.0654491773
160	-43895.1970450277
161	-43837.5947394762
162	-43553.0288020489
163	-43451.5762798625
164	-43381.5974844811
165	-43358.0977086061
166	-43285.3304024088
167	-43151.6546143814
168	-42982.1104725406
169	-42869.5809719584
170	-42828.3112375031
171	-42420.8959834619
172	-42240.0264999569
173	-41837.3620368093
174	-41757.533048915
175	-41626.9524630657
176	-41352.8215358893
