States	Score	Time
5	-59109.2305794828	24.737
10	-56395.7617751416	20.452
15	-55603.4313989437	164.944
20	-54782.1857227986	363.683
25	-53969.9244126927	233.539
30	-53423.4160333800	144.992
35	-52587.7790821173	192.386
40	-52690.4319983117	286.372
45	-52185.3752056939	241.285
50	-52459.1279688340	354.822
55	-51325.4857452168	423.932
60	-50974.2583776646	908.103
65	-51519.5931077729	655.046
70	-51713.7256643783	897.64
75	-51856.7435136690	366.87
80	-51147.8061742476	1727.843
85	-51426.9826593167	540.177
90	-51614.0091029866	537.17
95	-51124.3843280233	467.711
100	-51203.3215041225	1131.785
105	-51109.6931415438	783.782
110	-51621.3133798722	549.044
115	-50995.5858240510	710.15
120	-51001.2162796044	1265.456
125	-51242.7799525350	258.505
130	-51068.3194658415	992.807
135	-51124.9242205673	793.001
140	-51424.5679572887	883.712
145	-51077.8709931955	970.911
150	-50922.8329513879	939.847
155	-51116.9003259015	654.104
160	-51049.6551932268	733.87
165	-51025.3370734854	1270.911
170	-50781.1293759789	454.332
175	-51052.1930471177	904.872
180	-50736.9438194154	1377.774
185	-50929.1232451905	643.362
190	-51228.0272699363	747.026
195	-51053.7930564373	1072.19
200	-50929.4172084028	688.85
