States	Run1	Run2	Run3	Run4	Run5
2	75104.81929	73444.98282	73949.23209	74463.85082	74458.95149	73726.72701
3	74383.8466	72384.81368	72179.68398	72275.58502	72720.16435	73214.55415
4	72573.7344	72127.43441	71862.16589	71951.41374	71811.98954	73006.80431
5	72333.72114	71698.05304	71782.76374	71818.70601	71638.94862	72656.45572
6	72213.19606	71410.45373	71600.25143	71281.78104	71582.35454	71903.3993
7	72137.29757	71229.96931	71488.0362	71106.71959	71517.39737	71783.58678
8	72070.29871	71053.55787	71366.71219	70920.22658	71421.64993	71540.97202
9	71918.3073	70906.72377	71298.65541	70615.52115	71249.37115	71465.35435
10	71696.37221	70706.63143	71153.86005	70410.58592	71152.32744	71454.40722
11	71551.84608	70628.03702	71005.39951	70265.15147	71015.51671	71427.4756
12	71334.7702	70501.22806	70859.4992	70125.04805	70910.37264	71359.89539
13	71157.35155	70458.31962	70778.59797	69859.33677	70714.26181	71329.39539
14	71040.52074	70342.55917	70679.67308	69714.20978	70400.59079	71201.74844
15	70849.70209	70273.34679	70540.53578	69603.56434	70033.06051	71083.56435
16	70560.01523	70183.85978	70464.46389	69562.34636	69784.83886	71030.33662
17	70259.73023	70078.27749	70331.75926	69474.47735	69556.06632	70975.83569
18	70098.54771	70003.89395	70203.31165	69321.96813	69396.05053	70717.66808
19	70015.46353	69648.61944	70081.92665	69164.54919	69306.37657	70695.56636
20	69958.13045	69418.95131	70032.65725	69066.06498	69190.80128	70442.84335
21	69870.21331	69282.89082	69980.90895	69043.32123	69112.65014	70203.94418
22	69726.58154	69116.75154	69895.27706	68971.06333	68977.76871	70001.00246
23	69638.78246	68887.06759	69808.07665	68921.64616	68854.52097	69840.51253
24	69600.77689	68759.16514	69692.19914	68815.12477	68770.45606	69833.80673
25	69488.81359	68685.69798	69570.74134	68767.9408	68643.50578	69772.78313
26	69368.59107	68649.44132	69385.33086	68704.58331	68497.64825	69648.49119
27	69294.14477	68579.15249	69199.77718	68656.32354	68375.42198	69585.82641
28	69233.2352	68555.63793	68991.34863	68586.20131	68226.68067	69519.264
29	69146.28311	68480.40006	68795.62597	68478.35202	68124.67292	69351.48791
30	69044.66986	68407.36497	68601.68278	68386.10313	68064.78094	69283.38595
31	68986.87081	68266.95829	68395.492	68335.29061	67988.16476	69243.29884
32	68872.18742	68198.84328	68267.36897	68278.79879	67969.26981	69156.87345
33	68767.73745	68132.30501	68179.63253	68261.8768	67924.3456	69125.98728
34	68712.61729	68089.08177	68104.56736	68225.95374	67901.97027	69033.56414
35	68647.94023	68075.82733	68067.31178	68199.96004	67874.6471	68959.15829
36	68585.52382	68045.47911	67997.38627	68155.92299	67821.55742	68856.87292
37	68546.96394	68009.58534	67947.44301	68128.10982	67802.88201	68835.00963
38	68529.47494	67956.72151	67933.00774	68109.93055	67771.26261	68774.62032
39	68512.27098	67953.54123	67918.03644	68104.65385	67730.63837	68733.94993
40	68429.80062	67902.61038	67870.56266	68091.57969	67717.63542	68673.27694
41	68316.18071	67846.76305	67829.49751	68065.22299	67675.29048	68642.6733
42	68265.76998	67761.70462	67753.46967	68041.27968	67674.39329	68566.44577
43	68238.09012	67704.76451	67721.12587	68007.85916	67622.10596	68483.86371
44	68174.45815	67690.35878	67686.72201	67969.27514	67608.78289	68447.65904
45	68115.02511	67663.69685	67679.28905	67891.92853	67553.83438	68352.99759
46	68063.43818	67611.28006	67665.70796	67842.96529	67501.02324	68345.25262
47	68024.89178	67556.51493	67637.4664	67765.11179	67452.28917	68327.53677
48	68010.57568	67539.14865	67607.12365	67708.71189	67413.51787	68261.1736
49	67948.30012	67529.45054	67589.019	67671.2938	67403.67738	68258.44835
50	67880.12708	67485.85871	67536.16615	67636.07531	67378.09566	68154.36775
