Dataset	States	BW	SBW	GE	BW_correct_validation
36	10	118456.5983	118839.8768	120045.5397	121697.083110372
36	20	117092.1953	118166.5696	118238.9044	121817.52707717
36	30	117197.3283	117356.1179	117815.6881	121766.088042216
36	40	116792.8539	117138.6042	117397.3769	121780.251451759
36	50	116813.6188	117187.0481	117159.3473	121713.947331946
36	60	116975.3466	117006.4847	116991.1169	121864.675609516
36	70	116946.3317	117131.4802	116830.5132	121799.316008269
36	80	116857.6545	117049.4718	116708.5129	121758.53317667
36	90	116848.8433	117254.7248	116623.0859	118895.753465358
36	100	116989.4533	117277.5243	116047.1384	121893.665382212
