Dataset	States	BW	SBW	GE	GG-GE	Padawan
6	10	-91010.32535	-101329.3356	-100822.5078	nan	-91962.02216
6	20	-78244.55507	-93366.29477	-90959.35855	nan	-53070.60163
6	30	-72249.11497	-91819.98484	-84626.37238	nan	-25563.35109
6	40	-72409.2625	-87966.91507	-80867.36549	nan	-30930.32321
6	50	-70136.34745	-86522.67452	-78534.98641	nan	-17223.69184
6	60	-69612.61341	-81501.5528	-73570.04064	nan	-16050.8335
6	70	-69620.18258	-81911.86999	-68099.88064	nan	-18204.65214
6	80	-69347.07612	-81214.12261	-62942.92346	nan	-15418.04106
6	90	-69978.71222	-80285.48748	-60323.69151	nan	-18303.45938
6	100	-68946.69507	-79499.41471	-56676.73513	nan	-23349.87936
