States,IMnbT-1,IMnbT-3,IMnbT-5,IMnbT-10
17,,,,-73071.26068
18,,,,-72616.22225
19,,,,-72486.45283
20,,,,-72247.39377
21,,,,-72010.1615
22,,,,-71650.7256
23,,,,-71400.79478
24,,,,-71266.18471
25,,,,-70961.53356
26,,,,-70699.7728
27,,,,-70516.08409
28,,,,-70429.43229
29,,,,-70278.62949
30,,,,-70142.68912
31,,,,-70053.79876
32,,,,-69958.25436
33,,,,-69829.80442
34,,,,-69685.71249
35,,,,-69552.48258
36,,,,-69507.51934
37,,,,-69471.86056
38,,,,-69390.25137
39,,,,-69305.3092
40,,,,-69259.30193
41,,,,-69175.78645
42,,,,-69111.83508
43,,,,-69070.48225
44,,,,-69002.87475
45,,,,-68950.52874
46,,,,-68886.43376
47,,,,-68865.77688
48,,,,-68829.7224
49,,,,-68722.51302
50,,,,-68639.83388
51,,,,-68537.33498
52,,,,-68509.8027
53,,,,-68419.73441
54,,,,-68340.25675
55,,,,-68296.29626
56,,,,-68297.82176
57,,,,-68261.82163
58,,,,-68228.22195
59,,,,-68143.10976
60,,,,-68133.75757
61,,,,-68064.63792
62,,,-71884.13143,-68030.64292
63,,,-69900.81574,-67978.09432
64,,,-68100.33158,-67919.54496
65,,,-66951.2622,-67894.95779
66,,-53713.63971,-66199.92665,-67881.63534
67,,-48606.67246,-65569.02964,-67871.97311
68,-51275.99455,-47814.60259,-64985.89078,-67841.73965
69,-49724.5787,-46806.494,-64521.39396,-67823.57088
70,-49357.92771,-46014.21838,-64286.16617,-67803.76043
71,-49183.48043,-45826.88645,-64127.09916,-67780.95898
72,-48935.33882,-45755.56217,-63934.34498,-67773.18418
73,-47954.73982,-45742.26903,-63814.68293,-67750.04975
74,-47303.64425,-45761.66207,-63720.96801,-67740.79528
75,-46091.56323,-45772.12863,-63652.04376,-67725.26763
76,-45980.46215,-45740.53122,-63531.99387,-67681.39895
77,-45923.97634,-45695.03115,-63518.63063,-67665.30718
78,-44704.71952,-45685.21176,-63448.87187,-67631.12028
79,-44639.32099,-45694.11639,-63385.20387,-67619.59933
80,-44527.03196,-45702.91392,-63370.35595,-67654.98193
81,-44479.01555,-45707.69327,-63328.00739,-67618.4675
82,-44415.77609,-45715.65977,-63267.20615,-67608.92414
83,-44335.30874,-45715.65977,-63236.91565,-67605.66975
84,-44332.92547,-45714.32437,-63248.23938,-67619.1254
85,-44262.31319,-45686.19761,-63182.85316,-67626.3572
86,-44255.28899,-45687.498,-63177.82547,-67623.78905
87,-44227.75937,-45679.27267,-63192.7122,-67604.99206
88,-44188.29537,-45676.01237,-63148.9505,-67595.04235
89,-44158.94124,-45681.57683,-63121.33338,-67592.96415
90,-44009.08026,-45711.3059,-63130.20972,-67598.65079
91,-44022.89454,-45695.63538,-63097.49522,-67591.58069
92,-44034.83438,-45697.94989,-63097.45203,-67557.26088
93,-44027.4476,-45718.10142,-63065.50044,-67562.04941
94,-44024.68591,-45644.66214,-63068.00424,-67572.53408
95,-44025.61717,-45627.83298,-63068.26966,-67554.63751
96,-43984.37046,,-63062.32,-67554.68614
97,-43918.741,,-63049.03699,-67555.95157
98,-43880.84103,,-63039.67823,-67526.42372
99,-43890.70316,,-63037.29771,-67534.55353
100,-43849.49726,,-63023.76122,-67524.52782
