States	IMnbT-1	IMnbT-3	IMnbT-5	IMnbT-10
13				-60043.2416
14				-58735.83218
15				-57922.02508
16				-57287.30781
17				-56125.02885
18				-55274.40333
19				-54040.74649
20				-52966.86385
21				-52461.64701
22				-52131.87525
23				-51750.5998
24				-51541.03721
25				-51459.98921
26				-51296.74575
27				-51066.04596
28				-50901.90325
29				-50767.48592
30				-50649.6949
31				-50501.16319
32				-50347.88212
33				-50320.20297
34				-50163.1696
35				-50047.02862
36				-49955.71737
37				-49779.27031
38				-49625.38905
39				-49474.69347
40				-49394.64512
41				-49332.3914
42			-55015.01888	-49330.44537
43	-43284.8494	-42557.09299	-51503.52869	-49285.99758
44	-42223.80424	-40307.14448	-49389.77804	-49265.16625
45	-41243.30024	-39173.40262	-47942.51807	-49165.12552
46	-40606.9628	-39047.75921	-47262.00571	-49156.72454
47	-40086.0156	-37975.54601	-46883.04608	-49069.75567
48	-39808.80961	-37596.75416	-46707.84323	-49006.34773
49	-39656.94289	-37540.41442	-46506.9453	-48962.78419
50	-38721.13092	-37391.09237	-46375.72488	-48925.36782
51	-38657.81301	-37263.17611	-46292.71964	-48917.40181
52	-38604.55772	-37148.25682	-46240.67828	-48883.33235
53	-38510.66427	-37024.39622	-46183.05794	-48866.49463
54	-37147.10468	-37001.60856	-46135.55838	-48848.71955
55	-37069.47627	-36984.369	-46118.55436	-48827.5847
56	-37026.20157	-36947.00458	-46090.97393	-48771.8772
57	-37004.65234	-36921.62358	-46071.44822	-48733.77089
58	-36995.66307	-36867.46461	-46085.20388	-48684.231
59	-36900.78648	-36853.34335	-46045.11178	-48658.2742
60	-36781.96974	-36847.10919	-46055.29787	-48641.89086
61	-36754.90801	-36812.83625	-46068.29584	-48590.34177
62	-36687.53723	-36773.79913	-46025.20192	-48584.50248
63	-36664.15393	-36774.20525	-46019.9918	-48562.69651
64	-36595.81404	-36762.28178	-45993.3313	-48550.86303
65	-36565.60824	-36740.54665	-46012.51583	-48531.34537
66	-36500.91372	-36746.20283	-46006.78257	-48522.2114
67	-36444.5778	-36649.96542	-46004.35971	-48545.04392
68	-36400.11123	-36636.49795	-46002.0547	-48454.022
69	-36369.56832	-36605.77881	-45991.0672	-48452.62299
70	-36310.08212	-36553.85705	-45992.95596	-48409.94381
71	-36295.35703	-36497.06484	-45997.4463	-48375.96491
72	-36278.47559	-36455.92957	-45967.89194	-48380.74117
73	-36268.20116	-36390.02694	-45960.07509	-48378.45157
74	-36243.90888	-36338.5747	-45966.05136	-48381.07355
75	-36246.1269	-36276.85331	-45944.648	-48383.74325
76	-36159.34073	-36247.31281	-45932.5428	-48360.47824
77	-36138.86608	-36203.62466	-45910.13311	-48340.18605
78	-36150.20635	-36144.3556	-45927.24439	-48340.90508
79	-36099.34387	-36100.95857	-45926.1608	-48345.35775
80	-36108.87081	-36072.3804	-45921.76208	-48332.31382
81	-36118.03399	-36076.30483	-45900.88579	-48299.31359
82	-36122.2105	-36057.99336	-45910.77017	-48298.96767
83	-36095.24416	-36020.09641	-45892.04484	-48289.33552
84	-36113.14126	-36023.76752	-45871.94673	-48281.27376
85	-36019.50762	-36032.8781	-45850.67641	-48268.35838
86	-36041.61203	-36026.17519	-45625.99128	-48273.32932
87	-35943.1692	-36036.76996	-45438.05343	-48273.16874
88	-35925.5031	-36028.79124	-45269.67004	-48255.85912
89	-35861.86217	-36033.30137	-45232.63544	-48269.88748
90	-35839.37395	-36041.3373	-45208.57286	-48234.47499
91	-35843.68355	-36018.37	-45184.65131	-48227.07775
92	-35842.45687	-36021.78316	-45165.55355	-48178.71354
93	-35849.45232	-36027.05494	-45131.57857	-48178.13061
94	-35866.97739	-36025.86726	-45123.85945	-48169.75015
95	-35860.86517	-36015.01957	-45109.14155	-48150.46039
96	-35871.30169	-35990.77269	-45101.38402	-48139.30103
97	-35875.62715	-35987.57618	-45071.6369	-48125.45024
98	-35876.64365	-35957.59297	-45045.81722	-48080.7471
99	-35879.19425	-35966.27069	-45019.29944	-48037.65569
100	-35872.0126	-35950.75856	-44981.52538	-47898.11011
100	-35611.90062	-35910.15174	-44959.23206	-47879.47168
