density,symbols,mark
14.30041152,7,a
8.717561099,8,a
7.475994513,9,a
2.168367347,6,a
4.283194759,4,a
3.503460208,7,a
16.86797168,8,a
12.11995002,10,a
4.710076938,6,a
2.182106725,4,a
14.24406497,11,a
7.084910763,4,a
12.68639053,14,a
4.5625,10,a
8.179012346,6,a
5.610808782,13,a
7.229239452,15,a
11.47842057,7,a
40.18712408,5,a
1.662887377,18,a
11.34215501,6,a
23.04,4,a
13.5734072,6,a
14.21457673,20,a
19.23947488,20,a
19.75097656,21,a
54.0852762,8,a
32.69230769,14,a
26.24793388,21,a
19.3877551,10,a
8,12,a
22.91666667,4,a
4.974489796,23,a
38.2231405,13,a
23.61111111,13,a
11.83431953,15,a
16.96,20,a
34.72222222,5,a
38.88888889,13,a
8.673469388,19,a
36.11111111,5,a
15.70247934,18,a
44.59833795,17,a
61.11111111,14,a
66.66666667,9,a
69.13580247,10,a
63.28125,23,a
67.31301939,23,a
