States	GE	BW	SBW
2	581.671054	nan	nan
3	424.1988877	nan	nan
4	315.6646218	nan	nan
5	282.0729448	nan	nan
6	248.3533788	nan	nan
7	202.8318906	nan	nan
8	163.8499743	nan	nan
9	149.8560394	nan	nan
10	147.6001802	87.72096142	147.1798033
11	133.3901495	nan	nan
12	116.2284507	nan	nan
13	110.5409001	nan	nan
14	106.0043518	nan	nan
15	100.6242381	nan	nan
16	95.85907935	nan	nan
17	93.56825454	nan	nan
18	85.74008463	nan	nan
19	85.45483421	nan	nan
20	84.3235243	77.76703435	85.95188223
21	83.17540911	nan	nan
22	81.08154599	nan	nan
23	79.51059315	nan	nan
24	79.4631865	nan	nan
25	79.02903719	nan	nan
26	80.09831594	nan	nan
27	79.36038327	nan	nan
28	78.5578414	nan	nan
29	78.92551007	nan	nan
30	78.19920051	54.0299252	70.52486051
31	78.29139414	nan	nan
32	79.00291977	nan	nan
33	77.37600731	nan	nan
34	76.22030994	nan	nan
35	75.61050878	nan	nan
36	74.0921983	nan	nan
37	73.27159183	nan	nan
38	73.35372351	nan	nan
39	70.81788492	nan	nan
40	70.37304908	54.18210727	71.54219867
41	71.03431047	nan	nan
42	70.8615567	nan	nan
43	70.38301038	nan	nan
44	69.62340546	nan	nan
45	70.12053098	nan	nan
46	69.07875256	nan	nan
47	67.78285467	nan	nan
48	67.88109742	nan	nan
49	68.17226106	nan	nan
50	67.02004997	47.17944442	58.52414389
51	67.0666996	nan	nan
52	67.53778934	nan	nan
53	68.3414026	nan	nan
54	67.90639744	nan	nan
55	66.99125966	nan	nan
56	67.04182935	nan	nan
57	66.97968908	nan	nan
58	66.73987064	nan	nan
59	66.73030997	nan	nan
60	66.68723822	46.65283118	64.8739427
61	65.15341912	nan	nan
62	64.04215849	nan	nan
63	63.78660058	nan	nan
64	62.54102337	nan	nan
65	61.19379298	nan	nan
66	60.39482881	nan	nan
67	60.09260875	nan	nan
68	61.18464774	nan	nan
69	62.94204778	nan	nan
70	63.39189414	46.52014546	59.94297292
71	62.66145785	nan	nan
72	63.3168405	nan	nan
73	64.01945143	nan	nan
74	63.80900515	nan	nan
75	63.34338585	nan	nan
76	62.74990716	nan	nan
77	62.90722572	nan	nan
78	62.41455293	nan	nan
79	62.53644729	nan	nan
80	62.79922332		58.52212034
81	62.98096789	nan	nan
82	63.11527981	nan	nan
83	62.93199076	nan	nan
84	63.16568456	nan	nan
85	63.41472037	nan	nan
86	63.1117778	nan	nan
87	63.34170026	nan	nan
88	63.29032515	nan	nan
89	62.83713871	nan	nan
90	62.68833995		57.9726326
91	62.39379205	nan	nan
92	62.08745699	nan	nan
93	61.82051183	nan	nan
94	61.85970821	nan	nan
95	61.74398899	nan	nan
96	61.87662078	nan	nan
97	62.97059653	nan	nan
98	63.60707766	nan	nan
99	63.63039916	nan	nan
100	63.67360916	nan	nan
101	63.3210804	nan	nan
102	62.12313456	nan	nan
103	61.38834539	nan	nan
104	60.80028116	nan	nan
105	59.96384989	nan	nan
106	59.31371117	nan	nan
107	58.9021465	nan	nan
108	58.49682198	nan	nan
109	57.7040614	nan	nan
110	57.54079424	nan	nan
111	57.55208466	nan	nan
112	57.45303857	nan	nan
113	56.97243614	nan	nan
114	56.63097082	nan	nan
115	56.36079505	nan	nan
116	56.07124298	nan	nan
117	56.05882601	nan	nan
118	55.88006436	nan	nan
119	55.43499775	nan	nan
120	55.21925457	nan	nan
121	54.94067755	nan	nan
122	54.99775167	nan	nan
123	54.94006824	nan	nan
124	55.08069245	nan	nan
125	54.61939041	nan	nan
126	54.22650182	nan	nan
127	54.01352319	nan	nan
128	54.00246154	nan	nan
129	53.97606123	nan	nan
130	53.37264235	nan	nan
131	53.16000514	nan	nan
132	53.26812382	nan	nan
133	53.29382611	nan	nan
134	53.66635653	nan	nan
135	52.61174603	nan	nan
136	52.45373756	nan	nan
137	52.40907919	nan	nan
138	52.29034306	nan	nan
139	52.19573892	nan	nan
140	52.0350785	nan	nan
141	52.37798245	nan	nan
142	52.26757607	nan	nan
143	52.36120284	nan	nan
144	52.17452973	nan	nan
145	52.08862247	nan	nan
146	51.99208043	nan	nan
147	51.78461789	nan	nan
148	51.96999	nan	nan
149	51.90061486	nan	nan
150	51.85160909	nan	nan
151	51.90150716	nan	nan
152	51.80422273	nan	nan
153	51.89323218	nan	nan
154	52.00588064	nan	nan
155	52.17441914	nan	nan
156	52.39497475	nan	nan
157	52.72367303	nan	nan
158	53.24955193	nan	nan
159	53.42555248	nan	nan
160	53.47847584	nan	nan
161	53.42524222	nan	nan
162	53.42853307	nan	nan
163	53.47748195	nan	nan
164	53.32649118	nan	nan
165	53.42488564	nan	nan
166	53.72508354	nan	nan
167	53.85678634	nan	nan
168	53.96821548	nan	nan
169	53.80698526	nan	nan
170	53.8347027	nan	nan
171	53.98711409	nan	nan
172	53.93013398	nan	nan
173	53.99922836	nan	nan
174	53.92544672	nan	nan
175	53.96582175	nan	nan
176	54.40263786	nan	nan
177	54.15113662	nan	nan
178	54.07282088	nan	nan
179	54.04645261	nan	nan
180	53.93056771	nan	nan
181	53.87818463	nan	nan
182	53.8281154	nan	nan
183	53.72992159	nan	nan
184	53.69250807	nan	nan
185	53.97784271	nan	nan
186	53.98081118	nan	nan
187	53.96589315	nan	nan
188	54.11830315	nan	nan
189	54.04393015	nan	nan
190	54.23892136	nan	nan
191	53.79993506	nan	nan
192	53.43552037	nan	nan
193	53.03265414	nan	nan
194	52.8814416	nan	nan
195	53.04937949	nan	nan
196	52.98386309	nan	nan
197	52.91871203	nan	nan
198	52.85809677	nan	nan
199	53.11036086	nan	nan
200	52.55095556	nan	nan
201	52.07671787	nan	nan
202	51.99537894	nan	nan
203	51.94518206	nan	nan
204	51.51249601	nan	nan
205	51.25995873	nan	nan
206	51.19729263	nan	nan
207	51.06944167	nan	nan
208	50.78224669	nan	nan
209	50.52236215	nan	nan
210	50.38624878	nan	nan
211	50.24110325	nan	nan
212	50.23618647	nan	nan
213	50.02395517	nan	nan
214	49.89521761	nan	nan
215	49.80052438	nan	nan
216	49.68288023	nan	nan
217	49.69135967	nan	nan
218	49.7951356	nan	nan
219	49.53900802	nan	nan
220	49.48086176	nan	nan
221	49.60333119	nan	nan
222	49.82296513	nan	nan
223	50.20543654	nan	nan
224	50.94354058	nan	nan
225	51.61600541	nan	nan
226	52.15267492	nan	nan
227	53.03724773	nan	nan
228	54.71580416	nan	nan
229	55.58119956	nan	nan
230	56.52808288	nan	nan
231	57.2325144	nan	nan
232	58.05384517	nan	nan
233	58.58556997	nan	nan
234	58.17216287	nan	nan
