States	GE	BW	SBW	GS	Goal
2	321.0234896				66.98495792
3	280.3204972				66.98495792
4	265.1259695			322.2637754	66.98495792
5	277.5245162			292.4310977	66.98495792
6	267.0878339			265.1600589	66.98495792
7	260.1740255			250.0310768	66.98495792
8	251.7799969			208.4420811	66.98495792
9	253.2912087			205.0146317	66.98495792
10	248.0622474	166.6517362	196.529875	199.2919898	66.98495792
11	238.2175198			186.6427406	66.98495792
12	226.9545785			166.914523	66.98495792
13	234.1356221			158.1946855	66.98495792
14	224.1728801			151.1687611	66.98495792
15	215.6316479			143.7335634	66.98495792
16	207.0701719			142.5551319	66.98495792
17	203.7593216			127.4396898	66.98495792
18	200.2910828			127.7892879	66.98495792
19	190.7284476			127.4935783	66.98495792
20	188.2461175	135.7919212	201.793601	119.0515517	66.98495792
21	186.9875835			114.7747695	66.98495792
22	182.8006579			159.016956	66.98495792
23	179.3638582			177.4354954	66.98495792
24	178.785582			181.2369712	66.98495792
25	177.5487182			191.2050777	66.98495792
26	177.4090336			232.9794461	66.98495792
27	179.0980616			360.5215214	66.98495792
28	178.8362289			896.6306626	66.98495792
29	179.1977165			1897.500978	66.98495792
30	179.2774823	126.3348436	162.6582159	2363.318025	66.98495792
31	179.6408499			1955.099217	66.98495792
32	179.5826117			295.6278934	66.98495792
33	177.1265936			523.3031149	66.98495792
34	168.7193182			204.2940633	66.98495792
35	168.8922385			538.5674943	66.98495792
36	166.5323541			525.9740392	66.98495792
37	165.9173906			774.181602	66.98495792
38	164.9782386			394.1443528	66.98495792
39	164.1219284			358.2727759	66.98495792
40	164.6610722	122.602298	149.5290196	157.9503843	66.98495792
41	165.388054			198.4268516	66.98495792
42	165.4213823			5409.106035	66.98495792
43	165.3488247			4536.663693	66.98495792
44	162.6631888			164.876032	66.98495792
45	161.1879168			210.5372583	66.98495792
46	158.8136186			220.6264562	66.98495792
47	157.3675713			285.2099047	66.98495792
48	155.9689298			195.3229074	66.98495792
49	154.9359984			281.8419954	66.98495792
50	152.8119049	124.4305843	146.3323321	285.9268592	66.98495792
51	146.7565253			270.8276111	66.98495792
52	144.9103636			210.7698322	66.98495792
53	145.0736619			525.0586548	66.98495792
54	144.0277043			176.9698552	66.98495792
55	143.9893713			352.9555682	66.98495792
56	143.5664102			374.2575466	66.98495792
57	143.7320288			397.0319061	66.98495792
58	142.6205154			1019.784044	66.98495792
59	140.6380055			9302.736273	66.98495792
60	140.1966877	127.3014878	130.5022898		66.98495792
61	137.9842394				66.98495792
62	137.5416839				66.98495792
63	136.9697063				66.98495792
64	136.2551921				66.98495792
65	134.4284052				66.98495792
66	131.8919046				66.98495792
67	130.4656376				66.98495792
68	130.3672779				66.98495792
69	130.7534751				66.98495792
70	131.3588013	124.7062512	139.8713537		66.98495792
71	131.2566487				66.98495792
72	131.5102278				66.98495792
73	130.7492664				66.98495792
74	130.4845697				66.98495792
75	129.0950158				66.98495792
76	128.1013335				66.98495792
77	128.1078326				66.98495792
78	127.7444912				66.98495792
79	128.0167781				66.98495792
80	127.5092744	124.2091056	140.7953705		66.98495792
81	126.4238575				66.98495792
82	126.5204851				66.98495792
83	126.7895986				66.98495792
84	127.3757075				66.98495792
85	127.6628565				66.98495792
86	128.5128285				66.98495792
87	129.1035969				66.98495792
88	129.0982823				66.98495792
89	129.4034686				66.98495792
90	128.8453911	123.0679669	135.8446642		66.98495792
91	128.6145725				66.98495792
92	127.8544267				66.98495792
93	126.6449654				66.98495792
94	126.6471923				66.98495792
95	126.8890867				66.98495792
96	126.1153824				66.98495792
97	125.4147324				66.98495792
98	125.6161803				66.98495792
99	125.3410707				66.98495792
100	125.5296738	123.9015944	129.638279		66.98495792
101	125.009831				66.98495792
102	125.21675				66.98495792
103	125.4253731				66.98495792
104	125.4346711				66.98495792
105	125.4286428				66.98495792
106	125.5800125				66.98495792
107	124.4751014				66.98495792
108	124.1093791				66.98495792
109	124.1224947				66.98495792
110	124.8154851				66.98495792
111	124.055042				66.98495792
112	123.671687				66.98495792
113	123.5105348				66.98495792
114	124.3739857				66.98495792
115	124.2408563				66.98495792
116	125.2798709				66.98495792
117	125.3255485				66.98495792
118	125.7193118				66.98495792
119	125.2082058				66.98495792
120	125.7145427				66.98495792
121	124.6745054				66.98495792
122	124.465741				66.98495792
123	123.2289214				66.98495792
124	122.8275587				66.98495792
125	123.2921137				66.98495792
126	123.1073713				66.98495792
127	122.9679161				66.98495792
128	122.7305093				66.98495792
129	118.6111547				66.98495792
130	120.1633744				66.98495792
131	120.7052962				66.98495792
132	119.3488659				66.98495792
133	117.4574195				66.98495792
134	115.6133841				66.98495792
135	115.5253481				66.98495792
136	117.7446145				66.98495792
137	119.1426419				66.98495792
138	118.7598746				66.98495792
139	119.0518098				66.98495792
140	118.9171718				66.98495792
141	118.940033				66.98495792
142	119.9224202				66.98495792
143	119.6071869				66.98495792
144	120.4374782				66.98495792
145	119.4167852				66.98495792
146	118.6765512				66.98495792
147	118.7195424				66.98495792
148	119.4531283				66.98495792
149	119.4145103				66.98495792
150	120.1846441				66.98495792
151	120.1973111				66.98495792
152	120.2162514				66.98495792
153	120.4256425				66.98495792
154	121.0907673				66.98495792
155	119.6251103				66.98495792
156	120.1046974				66.98495792
157	120.497285				66.98495792
158	120.4859743				66.98495792
159	119.9000424				66.98495792
160	120.5644426				66.98495792
161	119.002933				66.98495792
162	119.733703				66.98495792
163	121.2491875				66.98495792
164	120.3427783				66.98495792
165	120.2657993				66.98495792
166	139.5505242				66.98495792
