States	GE	BW	SBW	GS	Goal
2	32.69090705				18.4081615
3	32.7003076				18.4081615
4	30.31972451			32.71152344	18.4081615
5	30.4121533			32.23888185	18.4081615
6	30.13388882			31.26288943	18.4081615
7	29.23750434			31.00012801	18.4081615
8	28.96958167			28.0502907	18.4081615
9	28.71993684			27.65358958	18.4081615
10	28.48579249	27.6334735	27.77391031	26.91977444	18.4081615
11	27.70620242			27.02161019	18.4081615
12	27.46615406			27.08011687	18.4081615
13	27.30204715			27.21153445	18.4081615
14	27.32456176			27.22793064	18.4081615
15	27.27579971			27.30963637	18.4081615
16	27.29592658			27.25204825	18.4081615
17	27.27338323			27.34116997	18.4081615
18	27.25033926			27.42947943	18.4081615
19	27.07159587			26.85162588	18.4081615
20	27.02652975	26.90905857	27.48995012	26.4955405	18.4081615
21	26.87003156			26.46709006	18.4081615
22	26.85692841			26.43695447	18.4081615
23	26.72773485			26.20072268	18.4081615
24	26.71824084			26.25950269	18.4081615
25	26.64699718			26.30155257	18.4081615
26	26.64694424			26.20497521	18.4081615
27	26.60433555			26.19242834	18.4081615
28	26.56890663			26.24114536	18.4081615
29	26.53415035			26.30511518	18.4081615
30	26.44807747	26.33009511	27.04365165	26.3529973	18.4081615
31	26.41398031			26.3941085	18.4081615
32	26.44859424			26.61040484	18.4081615
33	26.43274577			27.06503106	18.4081615
34	26.48090287			27.34490461	18.4081615
35	26.5729788			27.38268628	18.4081615
36	26.56066049			27.40566396	18.4081615
37	26.5276208			31.13771377	18.4081615
38	26.469109			31.55514896	18.4081615
39	26.42596389			30.85790334	18.4081615
40	26.37634287	26.27085585	26.51142724	31.38426096	18.4081615
41	26.37406625			31.70232199	18.4081615
42	26.3595187			34.14491756	18.4081615
43	26.3131196			34.41572521	18.4081615
44	26.29804439			34.82941198	18.4081615
45	26.31411321			34.87576291	18.4081615
46	26.31542127			34.75673704	18.4081615
47	26.29899126			35.76401246	18.4081615
48	26.31767085			35.81633495	18.4081615
49	26.29799203			35.77271088	18.4081615
50	26.30143587	26.4125714	26.5662205	35.42126785	18.4081615
51	26.29764959			35.50666259	18.4081615
52	26.30195496			35.78716655	18.4081615
53	26.31428217			35.67262339	18.4081615
54	26.3031623			35.52093209	18.4081615
55	26.32180798			36.02147815	18.4081615
56	26.31983821			36.627321	18.4081615
57	26.38676534			36.62287442	18.4081615
58	26.38085028			36.86386362	18.4081615
59	26.36851018			36.778218	18.4081615
60	26.37763088	26.17477183	26.66803811	36.88450067	18.4081615
61	26.44311336			36.67835215	18.4081615
62	26.41970198			36.50958922	18.4081615
63	26.43084619			36.44257739	18.4081615
64	26.45527634				18.4081615
65	26.43131394				18.4081615
66	26.4226727				18.4081615
67	26.42772498				18.4081615
68	26.43712116				18.4081615
69	26.39911363				18.4081615
70	26.44239496	26.36393468	26.19000597		18.4081615
71	26.42406105				18.4081615
72	26.42780002				18.4081615
73	26.44478639				18.4081615
74	26.43729277				18.4081615
75	26.43134081				18.4081615
76	26.41914				18.4081615
77	26.35923411				18.4081615
78	26.35158868				18.4081615
79	26.40360361				18.4081615
80	26.39558978	26.16498391	26.31355143		18.4081615
81	26.37252009				18.4081615
82	26.38443457				18.4081615
83	26.38360441				18.4081615
84	26.34630117				18.4081615
85	26.37281991				18.4081615
86	26.37560562				18.4081615
87	26.36513294				18.4081615
88	26.37006858				18.4081615
89	26.33615599				18.4081615
90	26.33643985	26.22307889	26.39299327		18.4081615
91	26.34502897				18.4081615
92	26.33707475				18.4081615
93	26.33192309				18.4081615
94	26.48188379				18.4081615
95	26.92808806				18.4081615
96	26.98728581				18.4081615
97	27.07704332				18.4081615
98	27.05421461				18.4081615
99	27.09694267				18.4081615
100	27.10305229	26.21704726	26.17650113		18.4081615
101	27.11802866				18.4081615
102					18.4081615
103					18.4081615
104					18.4081615
105					18.4081615
106					18.4081615
107					18.4081615
108					18.4081615
109					18.4081615
110		26.17876729	26.20021444		18.4081615
111					18.4081615
112					18.4081615
113					18.4081615
114					18.4081615
115					18.4081615
116					18.4081615
117					18.4081615
118					18.4081615
119					18.4081615
120		26.18206054	26.27937181		18.4081615
121					18.4081615
122					18.4081615
123					18.4081615
124					18.4081615
125					18.4081615
126					18.4081615
127					18.4081615
128					18.4081615
129					18.4081615
130		26.19015325	26.28804264		18.4081615
131					18.4081615
132					18.4081615
133					18.4081615
134					18.4081615
135					18.4081615
136					18.4081615
137					18.4081615
138					18.4081615
139					18.4081615
140		26.19196486	26.26028774		18.4081615
141					18.4081615
142					18.4081615
143					18.4081615
144					18.4081615
145					18.4081615
146					18.4081615
147					18.4081615
148					18.4081615
149					18.4081615
150		26.16477171	26.19171458		18.4081615
151					18.4081615
152					18.4081615
153					18.4081615
154					18.4081615
155					18.4081615
156					18.4081615
157					18.4081615
158					18.4081615
159					18.4081615
160			26.17613545		18.4081615
161					18.4081615
162					18.4081615
163					18.4081615
164					18.4081615
165					18.4081615
166					18.4081615
167					18.4081615
168					18.4081615
169					18.4081615
170			26.17694885		18.4081615
171					18.4081615
172					18.4081615
173					18.4081615
174					18.4081615
175					18.4081615
176					18.4081615
177					18.4081615
178					18.4081615
179					18.4081615
180			26.13302392		18.4081615
181					18.4081615
182					18.4081615
183					18.4081615
184					18.4081615
185					18.4081615
186					18.4081615
187					18.4081615
188					18.4081615
189					18.4081615
190			26.0826033		18.4081615
191					18.4081615
192					18.4081615
193					18.4081615
194					18.4081615
195					18.4081615
196					18.4081615
197					18.4081615
198					18.4081615
199					18.4081615
200			26.18958965		18.4081615
201					18.4081615
202					18.4081615
203					18.4081615
204					18.4081615
205					18.4081615
206					18.4081615
207					18.4081615
208					18.4081615
209					18.4081615
210			26.12619216		18.4081615
211					18.4081615
212					18.4081615
213					18.4081615
214					18.4081615
215					18.4081615
216					18.4081615
217					18.4081615
218					18.4081615
219					18.4081615
220			26.23731876		18.4081615
