Dataset	States	BW	SBW	GE	GG-GE	Padawan
10	10	-152038.9188	-151214.7	-151314.275	nan	-151142.6521
10	20	-147661.8568	-149496.8	-148639.8475	nan	-146492.0547
10	30	-144217.8581	-148321.7	-147826.0004	nan	-144102.4494
10	40	-141750.909	-147807.9	-146329.2649	nan	-129047.4316
10	50	-140593.7082	-146860.6	-145510.4824	nan	-117217.4342
10	60	-138331.6114	-145783.1	-144664.9641	nan	-89523.35448
10	70	-137013.515	-145874.6	-144004.698	nan	nan
10	80	-134094.4055	-145091.3	-143203.6544	nan	nan
10	90	-132772.4789	-145261.6	-142485.5611	nan	nan
10	100	-130095.6389	-144487.7	-141997.6431	92714.00866	nan
